"Action","Action"
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file path don't specify","Backup file path don't specify"
"DB","BDD"
"Create Backup","Créer une sauvegarde"
"Database was successfuly backed up.","Database was successfuly backed up."
"Time","Date/Heure"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Fichier compressé avec Zlib, mais cette extension n'est pas installée sur le serveur"
"Cannot read backup file","Impossible de lire le fichier de sauvegarde"
"Backup file doesn't exist","Le fichier de sauvegarde n'existe pas"
"Wrong order of creation for new backup","Ordre de création erroné pour la nouvelle sauvegarde"
"Backups","Sauvegardes"
"Size, byte","Size, byte"
"Download","Télécharger"
"All types","Tous les types"
"Type","Type"
"Unable to create backup. Please, try again later.","Unable to create backup. Please, try again later."
