"%1$s incl tax.","%1$s incl tax."
"Total of %d record(s) were successfully deleted","%d enregistrement(s) ont bien été effacés"
"Total of %d record(s) were successfully updated","%d enregistrement(s) ont bien été mis à jour"
"%s - %s","%s - %s"
"%s Item(s)","%s article(s)"
"(Copy data from: %s)","(Copier les données depuis : %s)"
"(Will make search for the query above return results for this search.)","(Fera une recherche pour la requête ci-dessus. Retourne des résultats pour cette recherche)"
"* Required Fields","* Required Fields"
"-- Please Select --","-- Votre choix --"
"Starting at:","A partir de :"
"Home","Accueil"
"Action","Action"
"Enabled","Activé"
"Add New Option","Add New Option"
"Add New Row","Add New Row"
"Add Root Category","Add Root Category"
"Add Subcategory","Add Subcategory"
"Add Tax","Add Tax"
"Show","Afficher"
"Display in Suggested Terms","Afficher dans les termes suggérés"
"View as","Afficher en"
"Shopping Options","Affiner la recherche"
"Add New","Ajouter"
"Add to Compare","Ajouter au comparateur"
"Add to Cart","Ajouter au panier"
"Add to My Wishlist","Ajouter à ma liste d'envies"
"Add to Wishlist","Ajouter à ma liste d'envies"
"Add Product To Websites","Ajouter le produit aux sites web"
"Add Items to Cart","Ajouter les articles au panier"
"Add Attribute","Ajouter un attribut"
"Add Design Change","Ajouter un changement de design"
"Add Group","Ajouter un groupe"
"Add Tier","Ajouter un niveau"
"Add New Set","Ajouter un nouveau groupe"
"Add Product","Ajouter un produit"
"Add New Search Term","Ajouter un terme de recherche"
"Add Option","Ajouter une option"
"Product Alerts","Alertes sur les produits"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","All products of this set will be deleted! Are you sure you want to delete this attribute set?"
"Go to Home Page","Allez à la page d'accueil"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"AM","AM"
"Amount","Amount"
"Old Price:","Ancien prix :"
"Apply To Configurable/Grouped Product","Appliquer à un produit configurable/groupé"
"Approved","Approuvé"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Assign","Assign"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Assigned Products","Assigned Products"
"Are you sure you would like to remove this item from the compare products?","Êtes-vous sûr de vouloir enlever cet article de la comparaison ?"
"Are you sure you want to delete this category?","Êtes-vous sûr de vouloir supprimer cette catégorie ?"
"Cart Item Attribute","Attribut d'article panier"
"Product attribute was successfully saved","Attribut de produit sauvegardé avec succès"
"Product attribute was successfully deleted","Attribut de produit supprimé avec succès"
"Product Attribute","Attribut du produit"
"Unknown attribute: %s","Attribut inconnu : %s"
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attributes","Attributs"
"Product Attributes","Attributs de produit"
"Unassigned Attributes","Attributs non assignés"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Options is required","Au moins une option doit être créée"
"None","Aucun"
"There are no products matching the selection.","Aucun produit ne correspond à la sélection"
