"%s is not correct comparsion method.","%s is not correct comparsion method."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","Autoriser les quantités négatives"
"Allow Qty Below 0 and Notify Customer","Autoriser les quantités négatives et prévenir le client"
"Catalog Inventory","Catalog Inventory"
"Backorders","Commande en rupture de stock"
"Decrease Stock When Order is Placed","Décrémenter le stock quand la commande est validée"
"Can not specify product identifier for order item","Impossible de spécifier l'identifiant de produit pour l'article de la commande"
"In Stock","In Stock"
"Inventory","Inventaire"
"Inventory API","Inventory API"
"Inventory Section","Inventory Section"
"The requested quantity is not available.","La quantité demandée n'est pas disponible."
"The requested quantity for ""%s"" is not available.","La quantité demandée pour ""%s"" n'est pas disponible."
"Manage Stock","Manage Stock"
"Update the Product","Mettre à jour le produit"
"Notify for Quantity Below","Notifier quand la quantité passe en dessous de"
"To Fixed Value","nouveau prix"
"To Percentage","nouveau prix (en %)"
"Stock Options","Options de stock"
"Out of Stock","Out of Stock"
"No Backorders","Pas de commandes au delà des stocks"
"Rule price","prix"
"Product Stock Options","Product Stock Options"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Maximum Qty Allowed in Shopping Cart","Quantité maxi autorisée dans le panier"
"Minimum Qty Allowed in Shopping Cart","Quantité mini autorisée dans le panier"
"By Percentage","remise (en %)"
"By Fixed value","remise d'une valeur de"
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"This product is currently out of stock.","This product is currently out of stock."
"Update","Update"
"Update product stock data","Update product stock data"
