"%s and greater","%s et plus"
"Home","Accueil"
"Go to Home Page","Allez à la page d'accueil"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Your search returns no results.","Aucun résultat pour votre recherche."
"There are no search terms available.","Aucun terme de recherche disponible."
"Catalog Search","Catalog Search"
"Required Fields","Champs obligatoires"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Go","Go"
"Grid","Grille"
"up to %s","jusqu'à %s"
"List","Liste"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minimal Query Length"
"Modify your search","Modifier votre recherche"
"No","No"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Search Settings","Paramètres de recherche"
"Autogenerated site map","Plan du site généré automatiquement"
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Results","Résultats"
"Search results for '%s'","Résultats de recherche pour '%s'"
"Search results for: '%s'","Résultats de recherche pour : '%s'"
"Search","Recherche"
"Advanced Search","Recherche avancée"
"Catalog Advanced Search","Recherche avancée dans le catalogue"
"Search Site","Rechercher sur le site"
"Relevance","Relevance"
"Search Type","Search Type"
"Subscribe to Feed","Subscribe to Feed"
"Search Terms","Termes de recherche"
"Popular Search Terms","Termes de recherche populaires"
"Popular search terms","Termes de recherche populaires"
"All","Tous"
"Search entire store here...","Votre recherche..."
"You have to specify at least one search term","Vous devez spécifier au moins un terme de recherche"
"Yes","Yes"
