"-- Please Select --","-- Votre choix --"
"* Required Fields","* Champs obligatoires"
"%s already exist","%s existent déjà"
"%s already exists","%s existe déjà"
"Admin User","Administrateur"
"Advanced","Avancé"
"All","Tous"
"Allow countries","Autoriser les pays"
"Allowed IPs (comma separated)","IPs autorisées (séparées par des virgules)"
"Are you sure?","En êtes-vous sûr ?"
"Back","Retour"
"Base directory","Répertoire de base"
"Base Image","Image de base - "
"Base JavaScript URL","URL de base Javascript"
"Base Link URL","URL de base lien"
"Base Media URL","URL de base Media"
"Base Skin URL","URL de base habillage"
"Base URL","URL de base"
"Before modifying the store view code please make sure that it is not used in index.php","Avant de modifier le code de vue magasin, assurez-vous qu'il n'est pas utilisé dans index.php"
"Before modifying the website code please make sure that it is not used in index.php","Avant de modifier le code de site web, assurez-vous qu'il n'est pas utilisé dans index.php"
"Block with name ""%s"" already exists","Un bloc portant le nom ""%s"" existe déjà"
"Can't retrieve request object","Impossible de récupérer l'objet de requête"
"Can\'t retrieve entity config: %s","Impossible de récupérer la configuration de l\'entité : %s"
"Cancel","Annuler"
"Cannot Delete Email Template","Impossible d'effacer le gabarit de mail"
"Code","Code"
"Code pools root directory","Répertoire racine de réservoirs de code"
"Comment","Commentaire"
"Contact Information","Informations de contact"
"Controller file was loaded but class does not exist","Le fichier de controller a été chargé mais la classe n'existe pas"
"Cookie Domain","Domaine du cookie"
"Cookie Lifetime","Durée de vie des cookies"
"Cookie Path","Chemin du cookie"
"Countries options","Options des pays"
"Create Store","Créer un magasin"
"Create Store View","Créer une vue magasin"
"Create Website","Créer un site web"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Tâches programmées) - tous les temps sont en minutes"
"Currency","Devise"
"Current package name","Nom du paquet actuel"
"Custom Design","Design personnalisé"
"Custom email 1","Email personnalisé 1"
"Custom email 2","Email personnalisé 2"
"Customer support","Support client"
"Database was successfuly backed up.","La base de données a bien été sauvegardée."
"Date From","Entre le"
"Date To","et le"
"Debug","Déboguage"
"Default","Défaut"
"Default country","Pays par défaut"
"Default Description","Description par défaut"
"Default Keywords","Mots-clés par défaut"
"Default no-route url","URL d'erreur 404 par défaut"
"Default Pages","Pages par défaut"
"Default Robots","Paramétrage robots par défaut"
"Default Store","Magasin par défaut"
"Default Store View","Vue magasin par défaut"
"Default Title","Titre par défaut"
"Default web url","URL web par défaut"
"Delete","Supprimer"
"Delete Store","Supprimer le magasin"
"Delete Store View","Effacer la vue magasin"
"Delete Website","Supprimer le site web"
"Deleting a store view will not delete the information associated with the store view (e.g. categories, products, etc.), but the store view will not be able to be restored. It is suggested that you create a database backup before deleting the store view.","Effacer une vue magasin n'effacera pas les informations associées à cette vue magasin (par ex. les catégories, les produits, etc.), mais la vue magasin ne pourra pas être restaurée. Il est recommandé de créer une sauvegarde de la base de données avant d'effacer la vue magasin."
"Deleting a store will not delete the information associated with the store (e.g. categories, products, etc.), but the store will not be able to be restored. It is suggested that you create a database backup before deleting the store.","Effacer un magasin n'effacera pas les informations associées à ce magasin (par ex. les catégories, les produits, etc.), mais le magasin ne pourra pas être restauré. Il est recommandé de créer une sauvegarde de la base de données avant d'effacer le magasin."
"Deleting a website will not delete the information associated with the website (e.g. stores, categories, products, etc.), but the website will not be able to be restored. It is suggested that you create a database backup before deleting the website.","Effacer un site web n'effacera pas les informations associées à ce site web (par ex. les catégories, les produits, etc.), mais le site web ne pourra pas être restauré. Il est recommandé de créer une sauvegarde de la base de données avant d'effacer le site web."
"Design","Design"
"Design Change","Changement de design"
"Developer","Développeur"
"Developer Client Restrictions","Restrictions client développeur"
"Disable email communications","Désactiver les communications mail"
"Disable modules output","Désactiver la sortie des modules"
"Duplicate Of Template Code","Duplication du code de gabarit"
"Edit Design Change","Éditer le changement de design"
"Edit Store","Modifier le magasin"
"Edit Store View","Éditer la vue magasin"
"Edit Website","Modifier le site web"
"Empty identifier field name","Vider le nom du champ d'identifiant"
"Empty main table name","Nom de table principale vide"
"Enabled","Activé"
"Enabled for Admin","Activée pour l'admin"
"Enabled for Frontend","Activée pour le frontend"
"Error in file: ""%s"" - %s","Erreur dans le fichier : ""%s"" - %s"
"Error while saving. Please try again later.","Erreur lors de la sauvegarde. Veuillez réessayer plus tard."
"Exception Log File Name","Nom du fichier de log pour les exceptions"
"File Name","Nom de fichier"
"Filesystem","Système de fichiers"
"Footer","Pied de page"
"Forgot Password Email Sender","Expéditeur du mail d'oubli de mot de passe"
"Forgot Password Email Template","Gabarit du mail d'oubli de mot de passe"
"General","Général"
"General contact","Contact général"
"General Settings","Paramètres généraux"
"Global","Global"
"Header","En-tête"
"Host","Serveur"
"HTML Head","En-tête HTML"
"Id path for specified store","Chemin identifiant pour le magasin spécifié"
"Invalid base dir type specified: %s","Le type de répertoire de base spécifié est non valide : %s"
"Invalid base url type","Type d'URL de base invalide"
"Invalid block name to set child %s: %s","Nom de bloc non valide pour rattacher l'enfant %s : %s"
"Invalid block type: %s","Type de bloc non valide : %s"
"Invalid block: %s","Bloc non valide : %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Argument non valide pour la mise à jour d'agencement de page, Mage_Core_Model_Layout_Element attendu"
"Invalid layout update handle","Manipulation de mise à jour de gabarit non valide"
"Invalid messages storage ""%s"" for layout messages initialization","Stockage des messages ""%s"" invalide pour l'initialisation des messages de gabarit"
"Invalid transactional email code: ","Code de mail transactionnel invalide :"
"Invalid websites configuration path: %s","Chemin de configuration des sites web non valide : %s"
"Layout","Agencement"
"Leave empty for access from any location","Laisser vide pour accéder depuis n'importe quelle IP"
"Locale","Profil local"
"Locale options","Options de locale"
"located in {{base_dir}}/var/log","situé dans {{base_dir}}/var/log"
"Log Settings","Paramètres de log"
"Logo Image Alt","Texte alternatif de l'image du logo"
"Logo Image Src","Source de l'image du logo"
"Manage Stores","Gérer les magasins"
"Media files directory","Répertoire des fichiers de media"
"Model class does not exist: %s","La classe modèle n'existe pas : %s"
"Model collection resource name is not defined","Le nom de ressource de modèle collection n'est pas défini"
"Name","Nom (usage interne)"
"New Design Change","Nouveau changement de design"
"New Store","Nouveau magasin"
"New Store View","Nouvelle vue magasin"
"New Website","Nouveau site web"
"Package","Paquet"
"Please enter 6 or more characters.","Veuillez saisir 6 caractères ou plus"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Veuillez saisir 6 caractères ou plus. Les espaces en début ou fin de chaîne seront ignorés."
"Please enter a number greater than 0 in this field.","Veuillez saisir un nombre supérieur à 0"
"Please enter a valid $ amount. For example $100.00.","Veuillez saisir un montant valide. Par ex. 100.00€"
"Please enter a valid credit card number.","Veuillez saisir un numéro de carte de paiement valide."
"Please enter a valid date.","Veuillez saisir une date valide."
"Please enter a valid email address. For example johndoe@domain.com.","Veuillez saisir une adresse email valide. Par ex. johndoe@domain.com"
"Please enter a valid number in this field.","Veuillez saisir un nombre valide"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Veuillez saisir un numéro de téléphone valide. Par ex. 01 23 45 67 89"
"Please enter a valid social security number. For example 123-45-6789.","Veuillez saisir un numéro de sécurité sociale valide. Par exemple 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Veuillez saisir une URL valide. Par exemple http ://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","Veuillez saisir une URL valide. Elle doit commencer par http ://"
"Please enter a valid zip code.","Veuillez saisir un code postal valide."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Veuillez saisir un code postal valide. Par exemple 90602 ou 90602-1234."
"Please enter valid password.","Veuillez saisir un mot de passe valide."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Assurez-vous que l'URL de base se termine par '/' (slash), par ex. http://yourdomain/magento/"
"Please make sure your passwords match.","Veuillez vérifier que vos mots de passe concordent."
"Please select an option.","Veuillez sélectionner une option."
"Please select one of the above options.","Veuillez sélectionner une des options ci-dessus."
"Please select one of the options.","Veuillez sélectionner une des options."
"Please select State/Province.","Veuillez sélectionner un état/région"
"Please use letters only (a-z) in this field.","Veuillez ne saisir que des lettres (a-z) dans ce champ."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Veuillez ne saisir que des nombres dans ce champ. Merci d éviter les espaces ou autres caractères tels que points ou virgules."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Veuillez ne saisir que des lettres (a-z) ou des chiffres (0-9) dans ce champ. Les espaces et autres caractères ne sont pas autorisés."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Veuillez ne saisir que des lettres (a-z) ou des chiffres (0-9) ou des espaces ou des dièses (#) dans ce champ."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Veuillez ne saisir que des lettres (a-z), des chiffres (0-9) ou underscore (_) dans ce champ. Le premier caractère doit être une lettre."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Veuillez utiliser le format de date suivant : jj/mm/aaaa. Par exemple, 17/03/2006 pour le 17 mars 2006."
"Please wait, loading...","Veuillez patienter, chargement en cours..."
"Port (25)","Port (25)"
