"Daily","Quotidien"
"Failure history lifetime","Historique d'échecs"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Pour que les URLs générées par des exécutions cron soient correctes, assurez-vous que les paramètres 'Web' > 'Sécurisé' et 'Non sécurisé' sont correctement définis."
"Generate schedules every","Générer des programmations tous les"
"History cleanup every","Nettoyage d'historique tous les"
"Missed if not run within","Manqué si non exécuté dans les"
"Monthly","Mensuel"
"Schedule ahead for","Programmer en avance de"
"Success history lifetime","Historique de réussites"
"Unable to save Cron expression","Impossible de sauvegarder l'expression Cron"
"Weekly","Hebdomadaire"
