"-- Please select --","-- Votre choix --"
"Allowed currencies","Devises autorisées"
"Base currency (Currency will be used for all online payment transactions)","Devise de base (cette devise sera utilisée pour toutes les transactions de paiement en ligne)"
"Cannot retrieve rate from %s","Impossible de récupérer le taux de %s"
"Continue &raquo;","Continuer &raquo;"
"Country and Format Type combination should be unique","La combinaison Pays et Type de format doit être unique"
"Currency","Devise"
"Currency Options","Options de devise"
"Currency Setup","Paramétrage des devises"
"Currency Update Warnings","Alertes de mise à jour des devises"
"Default display currency","Devise affichée par défaut"
"Enabled","Activé"
"Error Email Recipient","Destinataire du mail d'erreur"
"Error Email Sender","Expéditeur du mail d'erreur"
"Error Email Template","Gabarit du mail d'erreur"
"FATAL ERROR:","ERREUR FATALE :"
"Frequency","Fréquence"
"Installed Currencies","Devises installées"
"Invalid country code: %s","Code de pays non valide : %s"
"Invalid Import Service Specified","Service d'import spécifié non valide"
"Invalid rates received","Taux reçus non valides"
"Invalid target currency","Devise cible invalide"
"Scheduled Import Settings","Paramètres d'import programmé"
"Select Your Currency","Choisissez votre devise"
"Service","Service"
"Start Time","Heure de début"
"State/Province","État/Région"
"Unable to initialize import model","Impossible d'initialiser le modèle d'import"
"Undefined rate from ""%s-%s""","Taux indéfini pour ""%s-%s"""
"WARNING:","ATTENTION :"
"Your current currency is: %s","Votre devise actuelle est : %s"
