"Loaded %d records","%d enregistrements chargés"
"Invalid alias, already exists in joined attributes","Alias non valide, existe déjà dans les attributs liés"
"Attribute '%s' used in configurable products.","Attribut '%s' utilisé dans les produits configurables."
"Attribute with the same code","Attribut avec le même code"
"Invalid attribute requested: %s","Attribut non valide exigé : %s"
"Attribute used in configurable products.","Attribut utilisé dans les produits configurables."
"Attribute set with the ""%s"" name already exists","Attribute set with the ""%s"" name already exists"
"Invalid character encountered in increment ID: %s","Caractère non valide trouvé dans l'ID d'incrément : %s"
"Invalid joined fields","Champs de jointure non valides"
"Invalid foreign key","Clé étrangère non valide"
"Invalid data object key","Clé d'objet de données non valide"
"Entity collection expected","Collection d'entité attendue"
"Entity collections expected","Collections d'entité attendues"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Default Product Listing Sort by not exists on Available Product Listing Sort by"
"EAV types and attributes","EAV types and attributes"
"Invalid entity supplied: %s","Entité fournie non valide : %s"
"Invalid entity supplied","Entité non valide fournie"
"Invalid entity specified","Entité spécifiée non valide"
"Invalid entity_id, skipping the record","entity_id non valide, enregistrement ignoré"
"Invalid entity_type specified: %s","entity_type non valide : %s"
"Attempt to add an invalid object","Essaie d'ajouter un objet non valide"
"Failed to load node %s from config.","Failed to load node %s from config."
"Wrong attribute ID","Identifiant d'attribut erroné"
"Wrong entity ID","Identifiant d'entité erroné"
"Wrong attribute group ID","Identifiant de groupe d'attributs erroné"
"Wrong attribute set ID","Identifiant de jeu d'attributs erroné"
"Data integrity: No header row found for attribute","Intégrité de données : aucune ligne d'en-tête trouvée pour l'attribut"
"Entity is not initialized","L'entité n'est pas initialisée"
"Default option value is not defined","La valeur d'option par défaut n'est pas définie"
"Value of attribute ""%s"" must be unique","La valeur de l'attribut ""%s"" doit être unique"
"Joined field with this alias (%s) is already declared","Le champ joint avec cet alias (%s) est déjà déclaré"
"Joined field with this alias is already declared","Le champ joint avec cet alias est déjà déclaré"
"Joined field or attribute expression with this alias is already declared","Le champ joint ou l'expression d'attribut avec cet alias est déjà déclarée"
"Frontend label is not defined","Le libellé de front office n'est pas défini"
"Invalid store specified","Magasin spécifié non valide"
"No options found in config node %s","No options found in config node %s"
"Invalid attribute name: %s","Nom d'attribut non valide : %s"
"No","Non"
"Yes","Oui"
"Unknown parameter","Paramètre inconnu"
"Problem saving a record, aborting. Error: ","Problème lors de la sauvegarde de l'enregistrement. Annulation. Erreur : "
"Problem saving the collection, aborting. Error: %s","Problème lors de la sauvegarde de la collection. Annulation. Erreur : %s"
"Problem loading a record, aborting. Error: %s","Problème lors du chargement de l'enregistrement. Annulation. Erreur : %s"
"Problem loading the collection, aborting. Error: %s","Problème lors du chargement de la collection. Annulation. Erreur : %s"
"Saved ","Sauvegardé"
"Scope must not be changed, because the attribute is used in configurable products.","Scope must not be changed, because the attribute is used in configurable products."
"The attribute code '%s' is reserved by system. Please, try another attribute code.","The attribute code '%s' is reserved by system. Please, try another attribute code."
"Invalid attribute type","Type d'attribut non valide"
"Invalid entity type","Type d'entité non valide"
"Valid store_id is expected!","Un store_id valide est attendu !"
