"* Select shipping method","* Sélectionnez le mode de livraison"
"Fulfillment: %s -> %s","Accomplissement : %s -> %s"
"Enable","Activer"
"Add","Add"
"Add Shipping Method","Add Shipping Method"
"IP Address: %s","Adresse IP : %s"
"Allowed Methods","Allowed Methods"
"Google API","API Google"
"Virtual item to reflect discount total","Article virtuel pour refléter le total de la remise"
"Google Authorization:","Autorisation Google :"
"Buyer account age: %s days","Âge du compte de l'acheteur : %s jours"
"Eligible for protection: %s","Éligible pour la protection : %s"
"Sandbox","Bac à sable (sandbox)"
"Hide Cart Contents During Checkout","Cacher le contenu du panier lors du règlement"
"Carrier Calculated Methods","Carrier Calculated Methods"
"CC Partial: xxxx-%s","Carte de crédit (partiel) : xxxx-%s"
"Merchant Key","Clé de marchand"
"Debug","Déboguage"
"Default Package Height (in)","Default Package Height (in)"
"Default Package Length (in)","Default Package Length (in)"
"Default Package Width (in)","Default Package Width (in)"
"Default price for methods","Default price for methods"
"Delivery Address Category","Delivery Address Category"
"Delivery schedule","Delivery schedule"
"Latest Refund: %s","Dernier remboursement : %s"
"Latest Charge: %s","Derniers frais facturé : %s"
"Disable Default Tax Tables","Disable Default Tax Tables"
"Enable Carrier Calculated","Enable Carrier Calculated"
"Enable Digital Delivery","Enable Digital Delivery"
"Enable Flat Rate","Enable Flat Rate"
"Enable Merchant Calculated","Enable Merchant Calculated"
"Enable this if your checkout request is too big and being cut off.","Enable this if your checkout request is too big and being cut off."
"Expiration: %s","Expiration : %s"
"Invoice auto-created: %s","Facture créée automatiquement : %s"
"Optional, leave empty for home page.","Facultatif, laisser vide pour la page d'accueil"
"Financial: %s -> %s","Financier : %s -> %s"
"Free Shipping","Free Shipping"
"Auto-generated from GoogleCheckout Charge","Généré automatiquement depuis la facturation GoogleCheckout"
"Google Checkout","Google Checkout"
"Google Checkout: %s","Google Checkout : %s"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery"
"Merchant ID","ID de marchand"
"Google Buyer Id: %s","Identifiant d'acheteur Google : %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated."
"Google Risk Information:","Informations Google à propos des risques :"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Is Buyer Willing To Receive Marketing E-Mails: %s"
"Large - %s","Large - %s"
"Location","Lieu"
"Google Checkout Shipping - Merchant Calculated","Livraison Google Checkout - Calculé par le marchand"
"Google Checkout Shipping - Carrier Calculated","Livraison Google Checkout - Calculé par transporteur"
"Google Checkout Shipping - Flat Rate","Livraison Google Checkout - Montant fixe"
"Medium - %s","Medium - %s"
"Method","Method"
"Google order status change:","Modification de statut de commande Google :"
"Amount: %s","Montant : %s"
"No","No"
"Google Order Number: %s","Numéro de commande Google : %s"
"Default price:","Prix par défaut :"
"Rate 1 Amount","Rate 1 Amount"
"Rate 1 Ship To Applicable Countries","Rate 1 Ship To Applicable Countries"
"Rate 1 Ship to Specific Countries","Rate 1 Ship to Specific Countries"
"Rate 1 Title","Rate 1 Title"
"Rate 2 Amount","Rate 2 Amount"
"Rate 2 Ship To Applicable Countries","Rate 2 Ship To Applicable Countries"
"Rate 2 Ship to Specific Countries","Rate 2 Ship to Specific Countries"
"Rate 2 Title","Rate 2 Title"
"Rate 3 Amount","Rate 3 Amount"
"Rate 3 Ship To Applicable Countries","Rate 3 Ship To Applicable Countries"
"Rate 3 Ship to Specific Countries","Rate 3 Ship to Specific Countries"
"Rate 3 Title","Rate 3 Title"
"Google Refund:","Remboursement Google :"
"Cart Discount","Remise panier"
"Remove","Remove"
"Required for live Google Checkout transactions.","Required for live Google Checkout transactions."
"Secure Callback URL","Secure Callback URL"
"Small - %s","Small - %s"
"CID Status: %s","Statut CID : %s"
"New order status","Statut d'une nouvelle commande"
"AVS Status: %s","Statut du système de vérification d'adresse (AVS)"
"Checkout Image Style","Style d'image du règlement"
"Google Charge:","Tarif Google :"
"Total Charged: %s","Total facturé : %s"
"Total Refunded: %s","Total remboursé : %s"
"Transparent","Transparent"
"United Kingdom","United Kingdom"
"United States","United States"
"Continue Shopping URL","URL de ""Poursuivez vos achats"""
"White Background","White Background"
"You will be redirected to GoogleCheckout in a few seconds.","You will be redirected to GoogleCheckout in a few seconds."
