" Copy"," Copie"
"Action","Action"
"Add New Template","Ajouter un nouveau gabarit"
"Add to Queue","Ajouter à la file"
"Are you sure that you want to delete this template?","Êtes-vous certain de vouloir supprimer ce gabarit ?"
"Are you sure that you want to strip all tags?","Êtes-vous sûr de vouloir supprimer tous les tags ?"
"Back","Retour"
"Cancel","Annuler"
"Cancelled","Annulé"
"Cannot delete subscriber","Impossible de supprimer l'abonné"
"Cannot delete template","Impossible d'effacer le gabarit"
"Cannot mark as received subscriber","Impossible d'enregistrer comme abonné reçu"
"Cannot save your subscription: %s","Impossible d'enregistrer votre inscription : %s"
"Confirmation Email Sender","Expéditeur du mail de confirmation"
"Confirmation Email Template","Gabarit du mail de confirmation"
"Confirmation request has been sent","Une demande de confirmation a été envoyée"
"Convert to Plain Text","Convertir en texte simple"
"Create Newsletter Template","Créer un nouveau gabarit de newsletter"
"Customer","Client"
"Customer Firstname","Prénom du client"
"Customer Lastname","Nom de famille du client"
"Date Added","Date d'ajout"
"Date Updated","Date de mise à jour"
"Delete Selected Problems","Supprimer les problèmes sélectionnés"
"Delete Template","Supprimer le gabarit"
"Do you really want to cancel the queue?","Voulez-vous vraiment supprimer la file ?"
"Duplicate of template code","Duplication de code de gabarit"
"Edit Newsletter","Éditer la newsletter"
"Edit Newsletter Template","Éditer le gabarit de newsletter"
"Edit Queue","Éditer file"
"Edit Template","Éditer le gabarit"
"Email","Email"
"Error Code","Code d'erreur"
"Error Text","Texte d'erreur"
"Form was filled incorrectly","Le formulaire n'a pas été correctement rempli"
"Guest","Invité"
"ID","ID"
"Invalid queue selected","File sélectionnée non valide"
"Invalid subscriber ID","Identifiant d'abonné non valide"
"Invalid subscription confirmation code","Code de confirmation d'inscription non valide"
"Invalid subscription ID","Identifiant d'inscription non valide"
"Message","Message"
"Need to Confirm","Confirmation nécessaire"
"New Newsletter Template","Nouveau gabarit de newsletter"
"New Template","Nouveau gabarit"
"Newsletter","Newsletter"
"Newsletter Message Preview","Prévisualisation du message de la newsletter"
"Newsletter Problem Reports","Problèmes newsletter"
"Newsletter Queue","File d'attente newsletter"
"Newsletter Subscribers","Abonnés à la newsletter"
"Newsletter subscription confirmation","Confirmation de l'abonnement à la newsletter"
"Newsletter subscription success","Abonnement à la newsletter réussi"
"Newsletter Templates","Gabarits newsletter"
"Newsletter unsubscription success","Désabonnement de la newsletter réussi"
"No problems found","Aucun problème trouvé"
"No subscribers selected","Aucun abonné sélectionné"
"No Templates Found","Aucun gabarit trouvé"
"Not activated","Désactivé"
"Not Sent","Pas envoyé"
"Pause","Pause"
"Paused","Arrêté"
"Please enter new template name","Veuillez saisir un nouveau nom de gabarit"
"Please select subscriber(s)","Veuillez sélectionner des abonnés"
"Preview","Prévisualiser"
"Preview Template","Prévisualiser le gabarit"
"Processed","Terminé"
"Queue Date Start","Date de démarrage de la file"
"Queue Finish","Fin de la file"
"Queue Information","Informations de file"
"Queue Newsletter","Mettre la newsletter dans la file d'attente"
"Queue Start","Début de la file"
"Queue Subject","Sujet de la file"
"Recipients","Destinataires"
"Reset","Réinitialiser"
"Resume","Reprendre"
"Return Html Version","Revenir à la version HTML"
"Save And Resume","Sauvegarder et reprendre"
"Save As","Sauvegarder sous"
"Save Newsletter","Sauvegarder la newsletter"
"Save Template","Sauvegarder"
"Selected problem subscribers successfully unsubscribed","Les abonnés problématiques sélectionnés ont été désabonnés avec succès"
"Selected problems successfully deleted","Les problèmes sélectionnés ont été supprimés avec succès"
"Sender","Expéditeur"
"Sender Email","Expéditeur de l'email"
"Sender Name","Nom de l'expéditeur"
"Sending","Envoi en cours"
"Sent","Envoyé"
"Sign up for our newsletter:","Votre email pour vous abonner à notre newsletter :"
"Start","Commencer"
"Status","Statut"
"Store","Magasin"
"Store View","Vue magasin"
"Subcribed","Abonné"
"Subject","Sujet"
"Subscriber","Abonné"
"Subscribers","Abonnés"
"Subscribers From","Abonnés de"
"Subscription Options","Options d'inscription"
"Success Email Sender","Expéditeur du mail de succès"
"Success Email Template","Gabarit du mail de succès"
"Template Content","Contenu du gabarit"
"Template Information","Informations gabarit"
"Template Name","Nom du gabarit"
"Template Subject","Sujet du gabarit"
"Template Type","Type de gabarit"
"Thank you for your subscription","Merci pour votre inscription"
"The subscription was successfully saved","L'inscription a été enregistrée"
"There was a problem with the subscription","Un problème est survenu lors de l'inscription"
"There was a problem with the subscription: %s","Il y a eu un problème lors de l'inscription : %s"
"There was a problem with the un-subscription.","Un problème est survenu lors de la désinscription"
"There was an error while saving your subscription","Erreur lors de la sauvegarde de l'inscription"
"Toggle Editor","Changer d'éditeur"
"Type","Type"
"Unsubcribed","Désinscrit"
"Unsubscribe","Désabonner"
"Unsubscribe Selected","Désinscription sélectionnée"
"Unsubscription Email Sender","Expéditeur du mail de désinscription"
"Unsubscription Email Template","Gabarit du mail de désinscription"
"View Newsletter","Voir la newsletter"
"Website","Site web"
"You have been successfully unsubscribed.","Vous avez bien été désinscrit."
"Your subscription was successfully confirmed","Votre inscription a été prise en compte"
