"(ver. %s)","(ver. %s)"
"%s Item(s)","%s article(s)"
"Close Window","Fermer la fenêtre"
"Copyright","Copyright"
"Default Description","Description par défaut"
"Default Keywords","Mots-clés par défaut"
"Default Robots","Robots par défaut"
"Default Title","Titre par défaut"
"Footer","Pied de page"
"Header","En-tête"
"Help Us to Keep Magento Healthy","Aidez-nous à maintenir Magento"
"HTML Head","En-tête HTML"
"Interface Language","Langage de l'interface"
"Items %s to %s of %s total","Articles <strong>%s</strong> à <strong>%s</strong> sur un total de <strong>%s</strong>"
"Logo Image Alt","Texte alternatif du logo"
"Logo Image Src","Source du logo"
"Magento Commerce Demo Store","Boutique de démo Magento Commerce"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento est une marque déposée de Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Next Page","Page suivante"
"Page:","Page :"
"per page","par page"
"Previous Page","Page précédente"
"Report All Bugs","Signalez les bugs"
"Select Store","Choisir un magasin"
"Show","Afficher"
"Skip to Main Content","Passer au contenu principal"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Ceci est une boutique de démonstration. Aucune commande passée sur cette boutique ne sera honorée."
"Title Prefix","Préfixe du titre"
"Title Suffix","Suffixe du titre"
"Welcome Text","Texte de bienvenue"
"Welcome, %s!","Bienvenue, %s !"
"You're currently on:","Vous êtes actuellement sur :"
"Your Language","Votre langue"
