"API Password","Mot de passe d'accès à l'API"
"API Signature","Signature de l'API"
"API User Name","Identifiant d'accès à l'API"
"Billing Information","Informations de facturation"
"Business Account","Compte professionnel"
"Business Name","Raison sociale"
"Change Payment Method","Modifier le mode de paiement"
"Change Shipping Address","Modifier l'adresse de livraison"
"Credit Card Types","Types de cartes bancaires"
"Debug Flag","Indicateur de déboguage"
"Edit Shopping Cart","Modifier le panier"
"Email","Email"
"Enabled","Activé"
"Items in Your Shopping Cart","Articles dans votre panier"
"New order status","Statut d'une nouvelle commande"
"Password","Mot de passe"
"Payment Action","Action de paiement"
"Payment from applicable countries","Paiement depuis les pays applicables"
"Payment from Specific countries","Paiement depuis certains pays"
"Payment Method","Mode de paiement"
"PayPal Account","Compte PayPal"
"Paypal Logo Image URL(150x150)","URL du logo Paypal (150x150)"
"Place an Order","Passer une commande"
"Please select a shipping method...","Veuillez sélectionner un mode de livraison..."
"Price","Prix"
"Product Name","Nom du produit"
"Proxy Host","Hôte proxy"
"Proxy Port","Port de proxy"
"Qty","Qté"
"Review Order","Vérifier la commande"
"Sandbox Flag","Mode sandbox (pour les tests)"
"Shipping Address","Adresse de livraison"
"Shipping Information","Informations de livraison"
"Shipping Method","Mode de livraison"
"Sorry, no quotes are available for this order at this time.","Désolé, aucune estimation de cette commande n'est disponible pour le moment."
"Sort order","Ordre de tri"
"Submitting order information...","Les informations de commande sont en cours d'envoi..."
"Subtotal","Sous-total"
"Title","Titre"
"Transaction Type","Type de transaction"
"Type","Type"
"Update Shipping Method","Changer de mode de livraison"
"Use Proxy","Utiliser un proxy"
"Vendor","Vendeur"
"Website Payments Pro (Express, Direct)","Paiements pro sur site web (Express, Direct)"
"Website Payments Pro UK (Express, Direct)","Paiements pro sur site web Grande-Bretagne (Express, Direct)"
"Website Payments Standard","Paiements standards sur site web"
"You will be redirected to paypal in a few seconds.","Vous allez être redirigé vers Paypal dans quelques secondes."
"You will be redirected to PayPal website when you place an order.","Vous serez redirigé vers le site de Paypal quand vous validerez la commande."
"Your billing address will be ignored and you will be redirected to PayPal website","Votre adresse de facturation va être ignorée et vous allez être redirigé sur le site de PayPal"
