"Abandoned carts","Paniers abandonnés"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à ma liste d'envies"
"Applied Coupon","Coupons utilisés"
"Average rating","Notation moyenne"
"Bestsellers","Meilleures ventes"
"Bought from wishlists","Acheté à partir de la liste d'envies"
"Carrier/Method","Transporteur/Mode"
"Carts","Paniers"
"Coupons","Bons de réduction"
"Created at","Créé le"
"CSV","CSV"
"Customer","Client"
"Customer Name","Nom du client"
"Customer Tags","Tags client"
"Customers","Clients"
"Customers by number of orders","Clients par nombre de commandes"
"Customers by orders total","Clients par montant de commande"
"Customers Report","Rapport clients"
"Customers Reviews","Clients ayant commenté"
"Customers Tags","Clients ayant proposé des tags"
"Customers that have wishlist: %s%","Clients ayant une liste d'envies : %s%"
"Day","Jour"
"Detail","Détail"
"Discounts","Remises"
"Email","Email"
"Excel","Excel"
"First Name","Prénom"
"Guest","Invité"
"Hits","Vues"
"ID","ID"
"Invoiced","Facturé"
"Items in Cart","Articles dans le panier"
"Items Ordered","Articles commandés"
"Last Name","Nom de famille"
"Last Review","Dernier commentaire"
"Low stock","Stock bas"
"Month","Mois"
"Most viewed","Les plus consultés"
"Most Viewed","Les plus consultés"
"Name","Nom (usage interne)"
"New Accounts","Nouveaux comptes"
"Number Added","Nombre ajouté"
"Number Fulfilled","Nombre réalisés"
"Number Of Historical Uses","Nombre d'utilisations historiques"
"Number of Items","Nombre d'articles"
"Number of items bought from a wishlist: %s","Nombre d'articles achetés depuis une liste d'envies : %s"
"Number of New Accounts","Nombre de nouveaux comptes"
"Number of Orders","Nombre de commandes"
"Number Of Reviews","Nombre de commentaires"
"Number of Reviews","Nombre de commentaires"
"Number of times deleted","Nombre de suppressions"
"Number of times wishlists have been shared (emailed): %s","Nombre de fois que la liste d'envies a été partagée (envoyée par mail) : %s"
"Number of Total Tags","Nombre de tags total"
"Number of Unique Tags","Nombre de tags uniques"
"Number Of Uses","Nombre d'utilisations"
"Number of Views","Nombre de consultations"
"Number of wishlist conversions: %s","Nombre de conversion de listes d'envies : %s"
"Number of wishlist referrals: %s","Nombre de référents de la liste d'envies : %s"
"Number of wishlists: %s","Nombre de listes d'envies : %s"
"Number Purchased","Nombre acheté"
"Number Viewed","Nombre de vues"
"Offline Refunded","Remboursé hors ligne"
"Online Refunded","Remboursé en ligne"
"Orders","Commandes"
"Out of stock","Épuisé"
"Poducts Report","Rapport produits"
"Popular Tags","Tags populaires"
"Popularity","Popularité"
"Price","Prix"
"Product Name","Nom produit"
"Product Reviews","Commentaires de produits"
"Product Sku","SKU produit"
"Product Tags","Tags de produits"
"Products","Produits"
"Products in carts","Produits dans des paniers"
"Products Report","Produits"
"Products Reviews","Produits commentés"
"Products Tags","Produits taggés"
"Quantity of Items","Quantité d'articles"
"Quantity Ordered","Quantité commandée"
"Recently Compared Products","Produits récemment comparés"
"Recently Viewed Products","Produits récemment consultés"
"Recently Viewed/Compared Products","Produits récemment consultés/comparés"
"Refunded","Remboursé"
"Reports","Rapports"
"Results","Résultats"
"Revenue","Revenu"
"Review","Commentaire"
"Reviews","Commentaires"
"Sales","Ventes"
"Sales Report","Ventes"
"Search Terms","Termes de recherche"
"Shipping","Livraison"
"Shopping Cart","Panier"
"Show for Current","Afficher pour le"
"Stock Qty","Quantité en stock"
"Submitted In","Soumis dans"
"Submitted On","Soumis le"
"Subtotal","Sous-total"
"Tag","Tag"
"Tag ""%s"" details","Détails du tag ""%s"""
"Tag Detail","Détail du tag"
"Tag Name","Nom du tag"
"Tag use","Utilisation du tag"
"Tags submited by %s","Tags soumis par %s"
"Tags submitted to %s","Tags soumis pour %s"
"Tax","TVA"
"Tax Amount","Montant TVA"
"Tax Rate","Taux de TVA"
"Title","Titre"
"Total","Total"
"Total invoiced","Total facturé"
"Total invoiced captured","Total facturé capturé"
"Total invoiced not captured","Total facturé non capturé"
"Total Refunded","Total remboursé"
"Total refunded","Total remboursé"
"Total Shipping","Total livraison"
"Total Tags","Nb total de tags"
"Updated at","Mis à jour le"
"Visible In","Visible dans"
"Wishlist Report","Liste d'envies"
"Wishlist vs. Regular Order","Liste d'envies vs. Commande normale"
"Wishlists","Liste d'envies"
"Year","Année"
"Your Recently Compared","Vos dernières comparaisons"
"Your Recently Viewed","Vos dernières consultations"
