" The customer doesn\'t exist in the system anymore"," Le client n\'existe plus dans le système"
"""%s"" coupon code is not valid.","Le bon de réduction ""%s"" n'est pas valide."
"<span style=""color:red"">Requires Tax Based On Shipping Origin</span>","<span style=""color :red"">Nécessite que les taxes soient basées sur l'origine de livraison</span>"
"<span style=""color:red"">Warning: when catalog prices include tax, should be set to ""No""</span>","<span style=""color:red"">Avertissement : doit être paramétré à ""Non"" quand les prix catalogue incluent les taxes</span>"
"About This Order:","A propos de cette commande :"
"About Your Order","A propos de votre commande"
"Account Information","Informations du compte"
"Action","Action"
"Actions","Actions"
"Add","Ajouter un nouveau rôle"
"Add a gift message for <strong>each gift item</strong>","Ajouter un message cadeau pour <strong>chaque article cadeau</strong>"
"Add a gift message for the <strong>entire order</strong>","Ajouter un message cadeau pour <strong>toute la commande</strong>"
"Add New Address","Ajouter une nouvelle adresse"
"Add Order Comments","Ajouter des commentaires de commande"
"Add Product","Ajouter un produit"
"Add Selected Product(s) to Order","Ajouter les produits sélectionnés à la commande"
"Add to Cart","Ajouter au panier"
"Add To Order","Ajouter à la commande"
"Add Tracking Number","Ajouter un numéro de suivi"
"Address","Adresse"
"Adjustment Fee","Frais de dossier"
"Adjustment Fee:","Frais de dossier :"
"Adjustment Refund","Remboursement des frais de dossier"
"Adjustment Refund:","Remboursement des frais de dossier :"
"Allow Reorder","Autoriser le renouvellement de commande"
"Append Comments","Ajouter les commentaires"
"Apply","Appliquer"
"Apply Coupon Code","Appliquer un bon de réduction"
"Apply Tax after Discount","Appliquer les taxes après la remise"
"Are you sure you want to cancel this order?","Êtes-vous certain de vouloir annuler cette commande ?"
"Are you sure?","En êtes-vous sûr ?"
"Are you sure? This order will be cancelled and a new one will be created instead","En êtes-vous certain ? Cette commande va être supprimée et une nouvelle va être créée à la place"
"Back to My Orders","Retour à mes commandes"
"Backordered","En attente de stock"
"Bill to First name","Prénom (Fact.)"
"Bill to Last name","Nom de famille (Fact.)"
"Bill to Name","Nom (Fact.)"
"Billing Address","Adresse de facturation"
