"Maximum %d email addresses allowed.","%d adresses mail maxi autorisées"
"Enabled","Activé"
"Email Address","Adresse mail"
"Email Address:","Adresse mail :"
"Add Recipient","Ajouter destinataire"
"Allow for Guests","Autoriser pour les invités"
"Some emails was not sent","Certains mails n'ont pas été envoyés"
"Recipient:","Destinataire :"
"Email:","Email :"
"Email to a Friend","Envoyer à un ami"
"Send email","Envoyer l'email"
"Send product to a friend","Envoyer le produit à un ami"
"Sender:","Expéditeur :"
"Email templates","Gabarits d'email"
"You cannot email this product to a friend","Il est nécessaire d'être connecté pour utiliser cette fonctionnalité."
"Link to a friend was sent.","Le lien a été envoyé à un ami."
"Limit Sending By","Limiter l'envoi par"
"Message:","Message :"
"Name","Nom"
"Name:","Nom :"
"Max Recipients","Nombre maxi de destinataires"
"Max Products Sent in 1 Hour","Nombre maxi de produits envoyés en 1 heure"
"Some problems with data.","Problèmes avec les données."
"Select email template","Sélectionner le gabarit de mail"
"Remove Email","Supprimer email"
"You cannot send more than %d times in an hour","Vous ne pouvez pas faire plus de %d envois en une heure"
