"Add Sitemap","Ajouter un plan du site"
"Always","Toujours"
"Categories Options","Options pour les catégories"
"CMS Pages Options","Options pour les pages CMS"
"Daily","Quotidien"
"Edit Sitemap","Éditer le plan de site"
"Enabled","Activé"
"Error Email Recipient","Destinataire du mail d'erreur"
"Error Email Sender","Expéditeur du mail d'erreur"
"Error Email Template","Gabarit du mail d'erreur"
"Filename","Nom de fichier"
"Frequency","Fréquence"
"Generation Settings","Paramètres généraux"
"Google Sitemap","Plan de site Google"
"Google Sitemaps","Plans de site Google"
"Hourly","Toutes les heures"
"ID","ID"
"Last Time Generated","Généré pour la dernière fois le"
"Link for Google","Lien pour Google"
"Manage Google Sitemaps","Gérer les plans de site Google"
"Monthly","Mensuel"
"Never","Jamais"
"New Sitemap","Nouveau plan de site"
"Path","Chemin"
"Priority","Priorité"
"Priority must be between 0 and 1","La priorité doit être entre 0 et 1"
"Products Options","Options pour les produits"
"Sitemap","Plan de site"
"Sitemap generate Warnings","Le plan du site a généré des alertes"
"Sitemap was successfully deleted","Le plan du site a bien été effacé"
"Sitemap was successfully saved","Le plan du site a bien été sauvegardé"
"Start Time","Heure de début"
"Store View","Vue magasin"
"This sitemap no longer exists","Ce plan de site n'existe plus"
"Unable to find a sitemap to delete","Impossible de trouver un plan de site à effacer"
"Valid values range from 0.0 to 1.0","Valeurs acceptées entre 0.0 et 1.0"
"Weekly","Hebdomadaire"
"Yearly","Annuellement"
