"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","Action"
"Actions","Actions"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste d'envies"
"Add Tags","Ajouter des tags"
"Add New Tag","Ajouter un nouveau tag"
"Add Your Tags:","Ajoutez vos tags :"
"Approved","Approuvé"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Are you sure that you want to delete this tag?","Êtes-vous sûr de vouloir supprimer ce tag ?"
"No matches found.","Aucune correspondance trouvée."
"Edit Tag '%s'","Éditer tag '%s'"
"Other people marked this product with these tags:","Ce produit a été taggé avec les termes suivants :"
"Customer Since","Client depuis le"
"Customers","Clients"
"Click on a tag to view your corresponding products.","Cliquez sur un tag pour voir les produits correspondant."
"ZIP/Post Code","Code postal"
"CSV","CSV"
"Disabled","Désactivé"
"Delete Tag","Effacer le tag"
"Email","Email"
"Pending","En attente"
"Are you sure?","En êtes-vous sûr ?"
"Are you sure you want to delete this tag?","Etes-vous sûr de vouloir supprimer ce tag ?"
"Grid","Grille"
"ID","ID"
"Unable to save tag(s)","Impossible de sauvegarder le(s) tag(s)"
"Unable to save your tag. Please, try again later.","Impossible de sauvegarder votre tag. Veuillez réessayer plus tard."
"Unable to remove tag. Please, try again later.","Impossible de supprimer le tag. Veuillez réessayer plus tard."
"Unable to find any products tagged with '%s' in the current store","Impossible de trouver des produits taggés avec '%s' dans le magasin en cours"
"Block Information","Informations bloc"
"Tag Information","Informations du tag"
"General Information","Informations générales"
"Tag can't be empty.","Le tag ne peut pas être vide."
"Customers Tagged '%s'","Les clients ont taggés '%s'"
"Tags Aren't Available","Les tags ne sont disponibles"
"List","Liste"
"Thank you. Your tag has been accepted for moderation.","Merci. Votre tag a été accepté pour modération."
"My Tags","Mes tags"
"My Recent Tags","Mes tags récents"
"Change status","Modifier le statut"
"Edit Tag","Modifier le tag"
"# of Uses","Nb d'utilisations"
"Name","Nom"
"Last Name","Nom de famille"
"Tag Name","Nom du tag"
"Tag Name: %s","Nom du tag : <strong>%s</strong>"
"Product Name","Nom produit"
"New Tag","Nouveau tag"
"Country","Pays"
"Popular","Populaire"
"Popularity","Popularité"
"First Name","Prénom"
"Price","Prix"
"Products","Produits"
"Products Tagged with '%s'","Produits taggés avec '%s'"
"Products tagged with '%s'","Produits taggés avec '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produits taggés avec '%s' (<a href='%s'>RSS</a>)"
"SKU","Réf."
"Product SKU","Réf. produit"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Résultats de recherche pour '%s' (<a href='%s'>RSS</a>)"
"Back","Retour"
"Back to view Tag","Retour à l'affichage du tag"
"Back to Tags List","Retour à la liste de tags"
"Save Tag","Sauvegarder le tag"
"Search Terms","Search Terms"
"Status","Statut"
"Delete","Supprimer"
"Tag","Tag"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tagged in","Taggé dans"
"Tags","Tags"
"Tags:","Tags :"
"Product Tags","Tags du produit"
"Pending Tags","Tags en attente"
"Popular Tags","Tags populaires"
"Telephone","Téléphone"
"All Tags","Tous les tags"
"View All","Tout voir"
"Uses","Utilisations"
"Use spaces to separate tags. Use single quotes (') for phrases.","Utilisez des espaces pour séparer les tags. Utilisez les apostrophes (') pour les phrases."
"Visible In","Visible dans"
"View Customers","Voir les clients"
"View Products","Voir les produits"
"View All Tags","Voir tous les tags"
"You have not tagged any products yet.","Vous n'avez pas encore taggé de produits."
"XML","XML"
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
