"-- Please Select --","-- Votre choix --"
"Add New Class","Ajouter une nouvelle classe"
"Add New Tax Rate","Ajouter un nouveau taux de TVA"
"Add New Tax Rule","Ajouter une nouvelle règle de TVA"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Back","Retour"
"Class Name","Nom de la classe"
"Country","Pays"
"County","Comté"
"CSV","CSV"
"Customer Tax Class","Classe de TVA clients"
"Customer Tax Class Information","Informations de classe de TVA client"
"Customer Tax Classes","Classes de TVA client"
"Delete Class","Supprimer la classe"
"Delete Rate","Supprimer le taux"
"Delete Rule","Supprimer la règle"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Dupliquer la ligne #%s (Pays ""%s"", Région/État ""%s"", Code postal ""%s"" et Valeur ""%s"")"
"Edit Class","Éditer la classe"
"Edit Class '%s'","Éditer la classe '%s'"
"Edit Rule","Modifier la règle"
"Edit Tax Rate","Éditer le taux de TVA"
"Error while deleting this class. Please try again later.","Erreur lors de la suppression de cette classe. Veuillez réessayer ultérieurement."
"Error while deleting this rate. Incorrect rate ID","Erreur lors de la suppression de ce taux. Identifiant de taux invalide."
"Error while deleting this rate. Please try again later.","Erreur lors de la suppression de ce taux. Veuillez réessayer ultérieurement."
"Error while deleting this tax rule. Please try again later.","Erreur lors de la suppression de cette règle de TVA. Veuillez réessayer ultérieurement."
"Error while saving this rate. Please try again later.","Erreur lors de la sauvegarde de ce taux. Veuillez réessayer ultérieurement."
"Error while saving this tax class. Class with the same name ","Erreur lors de la sauvegarde de cette classe de TVA. Une classe portant le même nom"
"Error while saving this tax class. Please try again later.","Erreur lors de la sauvegarde de cette classe de TVA. Veuillez réessayer ultérieurement."
"Error while saving this tax rule. Please try again later.","Erreur lors de la sauvegarde de cette classe de TVA. Veuillez réessayer ultérieurement."
"Error while saving this tax rule. This product tax class and customer tax class combination","Erreur lors de la sauvegarde de cette règle de TVA. Combinaison impossible entre cette classe de TVA produit et cette classe de TVA client."
"Excl. Tax","HT"
"Export Tax Rates","Exporter les taux de TVA"
"ID","ID"
"Import / Export Tax Rates","Importer / exporter les taux de TVA"
"Import Tax Rates","Importer les taux de TVA"
"Inc. Tax","TTC"
"Incl. Tax","TTC"
"Incorrect rate Data","Données de taux incorrectes"
"Invalid data for tax rate calculation","Données invalides pour le calcul du taux de TVA"
"Invalid file format upload attempt","Tentative de téléchargement de fichier au format invalid"
"Invalid file upload attempt","Tentative de téléchargement de fichier invalide"
"Manage Customer Tax Classes","Gérer les classes de TVA client"
"Manage Product Tax Classes","Gérer les classes de TVA produit"
"Manage Tax Rates","Gérer les taux de TVA"
"Manage Tax Rules","Gérer les règles de TVA"
"New Class","Nouvelle classe"
"New Rule","Nouvelle règle"
"New Tax Rate","Nouveau taux de TVA"
"NONE","AUCUN"
"One of row has invalid country code.","Une ligne a un code pays non valide."
"Please select Country","Veuillez sélectionner un pays"
"Please select County","Veuillez sélectionner un pays"
"Please select State","Veuillez sélectionner un état"
"Product Tax Class","Classe de TVA produits"
"Product Tax Class Information","Information de la classe de TVA produit"
"Product Tax Classes","Classes de TVA produit"
"Reset","Réinitialiser"
"Sales","Ventes"
"Save Class","Sauvegarder la classe"
"Save Rate","Sauvegarder le taux"
"Save Rule","Sauvegarder la règle"
"State","État"
"State/Region","État/région"
"Tax","TVA"
"Tax class was successfully deleted","La classe de TVA a été sauvegardé avec succès"
"Tax class was successfully saved","Classe de TVA supprimée avec succès"
"Tax Rate","Taux de TVA"
"Tax Rate Information","Information du taux de TVA"
"Tax rate was successfully deleted","Taux de TVA supprimé avec succès"
"Tax rate was successfully imported","Taux de TVA importé avec succès"
"Tax rate was successfully saved","Taux de TVA sauvegardé avec succès"
"Tax Rates","Taux de TVA"
"Tax Rates Import / Export","Importer / exporter les taux de TVA"
"Tax Rule Information","Informations de règle de TVA"
"Tax rule was successfully deleted","Règle de TVA supprimée avec succès"
"Tax rule was successfully saved","Règle de TVA sauvegardée avec succès"
"Tax Rules","Règles de TVA"
"This class no longer exists","Cette classe n'existe plus"
"This rule no longer exists","Cette règle n'existe plus"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","Vous ne pouvez pas effacer cette classe de TVA car elle est utilisée par %d groupes de clients."
"You cannot delete this tax class as it is used for %d products.","Vous ne pouvez pas effacer cette classe de TVA car elle est utilisée par %d produits."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Vous ne pouvez pas effacer cette classe de TVA car elle est utilisée dans les règles de TVA. Vous devez d'abord effacer les règles qui l'utilisent."
"Zip/Post Code","Code postal"
