" was not delivered nor scanned"," n'a pas été livré ni scanné"
"2Day","2 jours"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Select","3 Day Select"
"Enabled","Activé"
"Additional Protection Configuration Value","Additional Protection Configuration Value"
"Additional Protection Enabled","Additional Protection Enabled"
"Additional Protection Min Subtotal","Additional Protection Min Subtotal"
"Additional Protection Value","Additional Protection Value"
"Additional Protection Value Rounding Method","Additional Protection Value Rounding Method"
"Show method if not applicable","Afficher le mode s'il n'est pas applicable"
"Next Afternoon","Après-midi suivante"
"Library","Bibliothèque"
"FedEx 10kg Box","Boîte 10kg FedEx"
"FedEx 25kg Box","Boîte 25kg FedEx"
"Drop Box","Boîte de dépôt"
"FedEx Box","Boîte FedEx"
"Bound Printed Matter","Bound Printed Matter"
"Calculate Handling Fee","Calculer les frais de dossier"
"Canada Standard","Canada Standard"
"Business Service Center","Centre de service d'affaires"
"Shipping key","Clé de livraison"
"Shipping key (International)","Clé de livraison (international)"
"Invalid UPS CGI code for type %s: %s","Code CGI UPS non valide pour le type %s : %s"
"Invalid DHL XML code for type %s: %s","Code XML DHL non valide pour le type %s : %s"
"Invalid FedEx XML code for type %s: %s","Code XML FedEx non valide pour le type %s : %s"
"Invalid USPS XML code for type %s: %s","Code XML USPS non valide pour le type %s : %s"
"Parcel","Colis"
"Parcel Post","Colis postal"
"Shipment picked up","Colis récupéré"
"Order","Commande"
"Commercial","Commercial"
"Configuration","Configuration"
"Container","Container"
"Express Mail","Courrier Express"
"Media Mail","Courrier media"
"Priority Mail","Courrier prioritaire"
"Customer Packaging","Customer Packaging"
"Dropoff","Déposer"
"Default Package Height","Default Package Height"
"Default Package Length","Default Package Length"
"Default Package Width","Default Package Width"
"Request Courier","Demander un coursier"
"Package Description","Description du paquet"
"Receiver","Destinataire"
"DHL","DHL"
"Domestic Shipment Days","Domestic Shipment Days"
"Packaging","Emballage"
