"To Fixed Value","To Fixed Value"
"Customer registered: %s","Customer registered: %s"
"Row total in cart","Row total in cart"
"Description: %s","Description: %s"
"Customer is new buyer: %s","Customer is new buyer: %s"
"Expire at: %s","Expire at: %s"
"By Fixed value","By Fixed value"
"Update the Product","Update the Product"
"To Percentage","To Percentage"
"Attribute Set","Attribute Set"
"Start at: %s","Start at: %s"
"Product attribute combination","Product attribute combination"
"By Percentage","By Percentage"
"Price in cart","Price in cart"
"Quantity in cart","Quantity in cart"
"Name: %s","Name: %s"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Invalid item entity","Invalid item entity"
"Conditions combination","Conditions combination"
"Special price","Special price"
