You tag was successfully saved,You tag was successfully saved
Your tag(s) have been submitted,Your tag(s) have been submitted
List,List
You tag was successfully deleted,You tag was successfully deleted
"Unable to save your tag. Please, try again later.","Unable to save your tag. Please, try again later."
Price,Price
All Tags,All Tags
Tag,Tag
Unable to save tag(s),Unable to save tag(s)
Thank you. Your tag has been accepted for moderation.,Thank you. Your tag has been accepted for moderation.
"Unable to remove tag. Please, try again later.","Unable to remove tag. Please, try again later."
Grid,Grid
Products tagged with '%s',Products tagged with '%s'
No matches found.,No matches found.
Data integrity: No header row found for attribute,Data integrity: No header row found for attribute
Name,Name
View All Tags,View All Tags
Other people marked this product with these tags:,Other people marked this product with these tags:
Add Your Tags:,Add Your Tags:
My Recent Tags,My Recent Tags
Tags:,Tags:
Are you sure you want to delete this tag?,Are you sure you want to delete this tag?
Tag Name: %s,Tag Name: <strong>%s</strong>
Unable to find any product tagged with '%s',Unable to find any product tagged with '%s'
Products tagged with '%s' (<a href='%s'>RSS</a>),Products tagged with '%s' (<a href='%s'>RSS</a>)
Save Tag,Save Tag
Tags Aren't Available,Tags Aren't Available
Use spaces to separate tags. Use single quotes (') for phrases.,Use spaces to separate tags. Use single quotes (') for phrases.
Popular Tags,Popular Tags
Add Tags,Add Tags
Add to Cart,Add to Cart
You have not tagged any products yet.,You have not tagged any products yet.
Product Tags,Product Tags
Add to Wishlist,Add to Wishlist
Search Results for '%s' (<a href='%s'>RSS</a>),Search Results for '%s' (<a href='%s'>RSS</a>)
My Tags,My Tags
Click on a tag to view your corresponding products.,Click on a tag to view your corresponding products.
Delete Tag,Delete Tag
Edit Tag,Edit Tag
