"(\\t for tab)","(\\t pour une tabulation)"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Chemin absolu ou relatif vers la racine d'installation de Magento, par ex. var/export)"
"(For US 2-letter state names)","(Pour les US, 2 lettres du nom de l'état)"
"(If left empty will be auto-generated)","(Généré automatiquement si non renseigné)"
"(Leave empty for first spreadsheet)","(Laisser vide pour la première feuille de calcul)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Les produits seront ajoutés/mis à jour dans ce magasin si la colonne 'store' est vide ou manquante dans le fichier d'import)"
"(Starting with)","(Commençant par)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Si 'Non', seuls les champs mappés seront importés. Lorsque vous utilisez le mapping, utilisez 'column1', 'column2', etc.)"
"[ deleted ]","[ effacé ]"
"[deleted]","[effacé]"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Erreur 404</h1><p>Page introuvable.</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Accès refusé</h1><p>Accès refusé.</p>"
"2YTD","Depuis le début de l'année dernière"
"aasdasdsadasd","aasdasdsadasd"
"Access Denied.","Accès refusé"
"Access Deny","Refus d'accès"
"Account Created in:","Compte créé dans :"
"Account Created on:","Compte créé le :"
"Account Information","Informations du compte"
"Account status","Statut du compte"
"Account successfully saved","Compte sauvegardé avec succès"
"Action","Action"
"Action Code","Code d'action"
"Actions","Actions"
"Actions XML","Actions XML"
"Active","Actif"
"Add Field Mapping","Ajouter un mapping de champs"
"Add New Image","Ajouter nouvelle image"
"Add New Profile","Ajouter un nouveau profil"
"Add new Role","Ajouter un nouveau rôle"
"Add New Role","Ajouter un nouveau rôle"
"Add New Template","Ajouter un nouveau gabarit"
"Add New Urlrewrite","Ajouter une nouvelle réécriture d'URL"
"Add New User","Ajouter nouvel utilisateur"
"Add Url Rewrite","Ajouter une réécriture d'URL"
"Address Type:","Type d'adresse :"
"Admin","Admin"
"Advanced Profiles","Profils avancés"
"Aggregate Order","Agréger la commande"
"All","Tous"
"All Allowed Countries","Tous les pays autorisés"
"All Cache","Tout le cache"
"All countries","Tous les pays"
"All fields","Tous les champs"
"All Files","Tous les fichiers"
