"Allow Qty Below 0","Autoriser les quantités négatives"
"Allow Qty Below 0 and Notify Customer","Autoriser les quantités négatives et prévenir le client"
"Backorders","Commande en rupture de stock"
"By Fixed value","remise d'une valeur de"
"By Percentage","remise (en %%)"
"Can not specify product identifier for order item","Impossible de spécifier l'identifiant de produit pour l'article de la commande"
"Decrease Stock When Order is Placed","Décrémenter le stock quand la commande est validée"
"Inventory","Inventaire"
"Maximum Qty Allowed in Shopping Cart","Quantité maxi autorisée dans le panier"
"Minimum Qty Allowed in Shopping Cart","Quantité mini autorisée dans le panier"
"Minimum Qty for Items' Status to be In Stock","Quantité mini pour que l'article soit considéré en stock"
"No Backorders","Pas de commandes au delà des stocks"
"Notify for Quantity Below","Notifier quand la quantité passe en dessous de"
"Rule price","prix"
"Stock Options","Options de stock"
"The requested quantity for ""%s"" is not available.","La quantité demandée pour ""%s"" n'est pas disponible."
"The requested quantity is not available.","La quantité demandée n'est pas disponible."
"To Fixed Value","nouveau prix"
"To Percentage","nouveau prix (en %%)"
"Update the Product","Mettre à jour le produit"
