"* Required Fields","* Champs obligatoires"
"&laquo; Back to Billing Information","&laquo; Retour aux informations de facturation"
"&laquo; Back to Select Addresses","&laquo; Retour à la sélection d'adresses"
"&laquo; Back to Shopping Cart","&laquo; Retour au panier"
"%s was successfully added to your shopping cart.","%s a bien été ajouté à votre panier."
"Add New Address","Ajouter une nouvelle adresse"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à la liste d'envies"
"Address","Adresse"
"Address %s of %s","Adresse <span class=""shipment-count"">%s</span> sur %s"
"After adding a product redirect to shopping cart","Rediriger vers le panier après l'ajout d'un produit"
"Allow Guest Checkout","Autoriser le passage de commande en tant qu'invité"
"Already registered?","Déjà enregistré ?"
"Apply Coupon","Utiliser un bon de réduction"
"Are you sure you would like to remove this item from the shopping cart?","Êtes-vous sûr de vouloir retirer cet article du panier ?"
"Back","Retour"
"Back to Shipping Information","Retour aux informations de livraison"
"Based on your selection, you may be interested in the following items:","D'après votre sélection, vous pourriez être intéressé(e) par les articles suivants :"
"Billing Address","Adresse de facturation"
"Billing Information","Informations de facturation"
"Billing Information - %s","Informations de facturation - %s"
"Can not add item to shopping cart","Impossible d'ajouter l'article au panier"
"Can not apply coupon code.","Impossible d'appliquer le code de réduction."
"Cannot move item to wishlist","Impossible de mettre l'article dans votre liste d'envies"
"Cannot remove item","Impossible de retirer l'article"
"Cannot update shopping cart","Impossible de mettre à jour le panier"
"Card Verification Number Visual Reference","Référence visuelle numérique de vérification de carte"
"Cart Subtotal:","Sous-total du panier :"
"Change Billing Address","Modifier l'adresse de facturation"
"Change Payment Method","Modifier le mode de paiement"
"Change Shipping Address","Modifier l'adresse de livraison"
"Change Shipping Method","Modifier le mode de livraison"
"Checkout","Régler mes achats"
"Checkout as a Guest or Register","Régler en tant qu'invité ou enregistrez-vous"
"Checkout as Guest","Régler en tant qu'invité"
"Checkout method","Mode de passage de commande"
"Checkout Options","Options de règlement"
"Checkout with Multiple Addresses","Régler avec plusieurs adresses"
"City","Ville"
"Close","Fermer"
"Company","Entreprise"
"Configurable product image","Image de produit configurable"
"Confirm Password","Confirmer votre mot de passe"
"Continue","Poursuivre"
"Continue Shopping","Poursuivre vos achats"
"Continue to Billing Information","Poursuivre vers les informations de facturation"
"Continue to Review Your Order","Poursuivre pour vérifier votre commande"
"Continue to Shipping Information","Poursuivre vers les informations de livraison"
"Country","Pays"
"Coupon code ""%s"" is not valid.","Le code de réduction ""%s"" n'est pas valide."
"Coupon code was applied successfully.","Le code de réduction a bien été appliqué."
"Create Billing Address","Créer une adresse de facturation"
"Create Shipping Address","Créer une adresse de livraison"
"Data saving problem","Problème lors de la sauvegarde des données"
"Default Billing","Facturation par défaut"
