"* Required Fields","* Champs obligatoires"
"Enable Contact Us","Activer la page Contactez-nous"
"Comment","Commentaire"
"Contact Us","Contactez-nous"
"Contacts","Contacts"
"Contacts Section","Contacts Section"
"Email","Email"
"Send Emails To","Envoyer les mails à"
"Email Sender","Expéditeur du mail"
"Contact Form","Formulaire de contact"
"Email Template","Gabarit du mail"
"Unable to submit your request. Please, try again later","Impossible d'envoyer votre demande. Veuillez réessayer plus tard."
"Contact Information","Informations de contact"
"Name","Nom"
"Email Options","Options de mail"
"Telephone","Téléphone"
"Submit","Valider"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us."
