"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - all the times are in minutes"
"Missed if not run within","Erreur si non exécuté en moins de"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set."
"Generate schedules every","Generate schedules every"
"Weekly","Hebdomadaire"
"Failure history lifetime","Historique d'échecs"
"Success history lifetime","Historique de réussites"
"History cleanup every","History cleanup every"
"Unable to save Cron expression","Impossible de sauvegarder l'expression Cron"
"Invalid callback: %s::%s does not exist","Invalid callback: %s::%s does not exist"
"Invalid model/method definition, expecting ""model/class::method"".","Invalid model/method definition, expecting ""model/class::method""."
"Monthly","Mensuel"
"No callbacks found","No callbacks found"
"Schedule ahead for","Programmer en avance de"
"Daily","Quotidien"
"Too late for the schedule","Too late for the schedule"
"Unknown error","Unknown error"
