" There was an error occurred during paying process."," Une erreur s'est produite durant le processus de paiement."
"Bank","Banque"
"Credit Mutuel","Credit Mutuel"
"Customer returned from Cybermut.","Le client est revenu de Cybermut"
"Customer successfully returned from Cybermut","Le client est revenu de Cybermut"
"Customer was redirected to Cybermut","Le client a été redirigé vers Cybermut"
"Cybermut Payment", "Paiement Cybermut"
"Debug","Debug"
"Default Cybermut Interface language","Langue par défaut de l'interface Cybermut"
"Dutch","Hollandais"
"Enabled","Activé"
"English","Anglais"
"Error occured","Erreur de paiement"
"Error while getting the key", "Erreur lors de la récupération de la clé"
"French","Francais"
"German","Allemand"
"Groupe CIC","Groupe CIC"
"Italian","Italien"
"Key","Fichier *.key"
"New order status","Statut des nouvelles commandes"
"OBC","OBC"
"Order %s","Order %s"
"Order number will be used if left empty","Si vide le numéro de commande sera utilisé"
"Order status when payment accepted by Cybermut", "Statut des commandes dont le paiement est accepté par Cybermut"
"Order status when payment refused by Cybermut", "Statut des commandes dont le paiement est refusé par Cybermut ou annulé par le client"
"Payment accepted by Cybermut", "Paiement accepté par Cybermut"
"Payment from Specific countries","Paiement depuis certains pays"
"Payment from applicable countries","Paiement depuis les pays applicables"
"Payment refused by Cybermut", "Paiement refusé par Cybermut"
"Preference will be given to store language chosen by the user", "La priorité sera donnée à la langue sélectionnée par l'utilisateur sur le site"
"Returned MAC is invalid. Order cancelled.","MAC de retour invalide. Commande annulée."
"SHA key","Clef 1ère partie (Phrase Clef)"
"Site code","Code société"
"Sort order","Ordre de tri"
"Spain","Espagnol"
"TPE number","TPE"
"Test mode","Mode test"
"There was an error occurred during paying process.","Une erreur s'est produite durant le processus de paiement."
"Title","Titre"
"Transaction Description","Description de la transaction"
"You will be redirected to Cybermut in a few seconds.","Vous allez être redirigé vers un serveur sécurisé Cybermut dans quelques secondes."
"You will be redirected to Cybermut website when you place an order.","Vous serez redirigé vers un serveur sécurisé Cybermut une fois votre commande terminée."
