"* Select shipping method","* Sélectionnez le mode de livraison"
"Account number","Numéro de compte"
"Add Shipping Method","Ajouter un mode de livraison"
"Allowed Methods","Méthodes autorisées"
"Amount: %s","Montant : %s"
"Auto-generated from GoogleCheckout Charge","Généré automatiquement depuis la facturation GoogleCheckout"
"AVS Status: %s","Statut du système de vérification d'adresse (AVS)"
"Buyer account age: %s days","Âge du compte de l'acheteur : %s jours"
"Carrier Calculated Methods","Méthodes de calcul par le transporteur"
"Cart Discount","Remise panier"
"CC Partial: xxxx-%s","Carte de crédit (partiel) : xxxx-%s"
"Checkout Image Style","Style d'image du règlement"
"CID Status: %s","Statut CID : %s"
"Commercial","Commercial"
"Continue Shopping URL","URL de continuation d'achats"
"Debug","Déboguage"
"Default Package Height (in)","Hauteur par défaut du paquet (en pouces)"
"Default Package Length (in)","Longueur par défaut du paquet (en pouces)"
"Default Package Width (in)","Largeur par défaut du paquet (en pouces)"
"Default price for methods","Prix par défaut pour les méthodes"
"Default price:","Prix par défaut :"
"Delivery Address Category","Catégorie d'adresse de livraison"
"Eligible for protection: %s","Éligible pour la protection : %s"
"Enable","Activer"
"Enable Carrier Calculated","Activer calcul par le transporteur"
"Enable Flat Rate","Activer le tarif unique"
"Enable Merchant Calculated","Activer calcul par le commerçant"
"Expiration: %s","Expiration : %s"
"Financial: %s -> %s","Financier : %s -> %s"
"Fulfillment: %s -> %s","Accomplissement : %s -> %s"
"Google API","API Google"
"Google Authorization:","Autorisation Google :"
"Google Buyer Id: %s","Identifiant d'acheteur Google : %s"
"Google Charge:","Tarif Google :"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Livraison Google Checkout - Calculé par transporteur"
"Google Checkout Shipping - Flat Rate","Livraison Google Checkout - Tarif unique"
"Google Checkout Shipping - Merchant Calculated","Livraison Google Checkout - Calculé par le marchand"
"Google Checkout: %s","Google Checkout : %s"
"Google Order Number: %s","Numéro de commande Google : %s"
"Google order status change:","Modification de statut de commande Google :"
"Google Refund:","Remboursement Google :"
"Google Risk Information:","Informations Google à propos des risques :"
"Hide Cart Contents During Checkout","Cacher le contenu du panier lors du règlement"
"Invoice auto-created: %s","Facture créée automatiquement : %s"
"IP Address: %s","Adresse IP : %s"
"Latest Charge: %s","Derniers frais facturé : %s"
"Latest Refund: %s","Dernier remboursement : %s"
"Location","Lieu"
"Merchant ID","ID de marchand"
"Merchant Key","Clé de marchand"
"New order status","Statut d'une nouvelle commande"
"Optional, leave empty for home page.","Facultatif, laisser vide pour la page d'accueil"
"Rate 1 Amount","Montant du taux 1"
"Rate 1 Title","Titre du taux 1"
"Rate 2 Amount","Montant du taux 2"
"Rate 2 Title","Titre du taux 2"
"Rate 3 Amount","Montant du taux 3"
"Rate 3 Title","Titre du taux 3"
"Remove","Supprimer"
"Residential","Résidentiel"
"Sandbox","Bac à sable (sandbox)"
"Signup for Google Checkout","Inscription à Google Checkout"
"Total Charged: %s","Total facturé : %s"
"Total Refunded: %s","Total remboursé : %s"
"Virtual item to reflect discount total","Article virtuel pour refléter le total de la remise"
