"(Make sure you keep it in a safe place.)","(Assurez-vous de la garder dans un endroit sûr)"
"(Optional. Leave blank for no prefix)","(Facultatif, laisser vide si vous ne souhaitez pas de préfixe)"
"(ver. %s)","(ver. %s)"
"Currently this is the most stable state available for Magento packages.","Actuellement, c'est l'état le plus stable disponible pour les paquets Magento."
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.)."
"Admin Path","Admin Path"
"Email Address","Adresse email"
"Help Us to Keep Magento Healthy","Aidez-nous à maintenir Magento"
"Go to Backend","Aller vers le back office"
"Go to Frontend","Aller vers le front office"
"After successfull installation please click the button below.","Après une installation réussie, veuillez cliquer sur le bouton ci-dessous"
"Magento Installation Wizard","Assistant d'installation Magento"
"One from PHP Extensions ""%s"" must be loaded","Au mois une des extensions suivantes doit être chargée : ""%s"""
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Avant de continuer vers votre magasin, veuillez noter votre clé de cryptage (Magento l'utilise pour crypter les mots de passe, les numéros de cartes de crédit, ...)"
"Setting preferred state to: %s","État privilégié paramétré à : %s"
"Base URL","Base URL"
"Welcome to Magento's Installation Wizard","Bienvenue sur l'assistant d'installation de Magento"
"This Url is invalid","Cette url est non valide"
"Required Fields","Champs obligatoires"
"Check this box only if it is not possible to automatically validate Base URL.","Check this box only if it is not possible to automatically validate Base URL."
"Choose this if you would like to test frontend and backend functionality.","Choisissez ceci si vous aimeriez tester la fonctionnalité frontend et backend."
"Encryption Key","Clé de cryptage"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Cochez cette case uniquement s'il n'est pas possible de valider automatiquement l'URL sécurisée, par exemple si une authentification HTTP est nécessaire."
"Configuration","Configuration"
"Password Confirmation","Confirmation du mot de passe"
"Confirm Password","Confirmer le mot de passe"
"Connection","Connexion"
"Database Connection","Connexion à la base de données"
"Continue After Manual Download","Continuer après le téléchargement manuel"
"Create Admin Account","Créer un compte administrateur"
"Database","Database"
"Database server does not support InnoDB storage engine","Database server does not support InnoDB storage engine"
"Database server version does not match system requirements (required: %s, actual: %s)","Database server version does not match system requirements (required: %s, actual: %s)"
"Default Currency","Devise par défaut"
"Email","Email"
"Database connection error","Erreur de connexion à la base de données"
"PHP Extension ""%s"" must be loaded","Extension PHP ""%s"" doit être chargée"
"PHP Extension '%s' loaded","Extension PHP '%s' chargée"
"File system","File system"
"Provide a complete base URL for SSL connection. For example: %s","Fournissez une URL de base complète pour la connexion SSL. Par exemple : %s"
"Time Zone","Fuseau horaire"
"Package Management through the Web","Gestion des paquets via le web"
"Installation Guide","Guide d'installation"
"Login Information","Information de connexion"
"Personal Information","Informations personnelles"
"Installation","Installation"
"I agree to the above terms and conditions","J'accepte les termes et conditions ci-dessus"
"Check out our","Jetez un oeil à notre"
"Url ""%s"" is not accessible","L'URL ""%s"" n'est pas accessible"
"Url ""%s"" is invalid","L'URL ""%s"" n'est pas valide"
"Run this in your shell from Magento root folder:","Lancer ceci dans votre shell depuis votre répertoire racine Magento :"
"Run admin interface with SSL","Lancer l'interface d'administration en SSL"
"Path ""%s"" must be writable","Le chemin ""%s"" doit être autorisé en écriture"
"Table prefix should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Le préfixe de tables doit contenir uniquement des lettres (a-z), des chiffres (0-9) ou soulignés (_), et le premier caractère doit être une lettre."
"Localization","Localisation"
"Magento","Magento"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento est une marque déposée de Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento utilise cette clé pour crypter les mots de passe, numéros de cartes de crédit, etc. Si vous laissez vide ce champ, le système créera une clé automatiquement et vous l'affichera dans l'écran suivant."
"Password","Mot de passe"
"User Password","Mot de passe utilisateur"
"Database user password","Mot de passe utilisateur de base de données"
"Enable this option only if you have SSL available.","N'activez cette option que si vous avez le SSL"
"Skip Secure URL validation before next step","Ne pas procéder à la validation de l'URL sécurisée avant l'étape suivante"
"User Name","Nom d'utilisateur"
"Username","Nom d'utilisateur"
"Database user name","Nom d'utilisateur de la base de données"
"Database Name","Nom de base de données"
"Last Name","Nom de famille"
"Web access options","Options d'accès web"
"Continue","Poursuivre"
"Continue Full Download / SVN Installation","Poursuivre téléchargement complet / installation SVN"
"Tables Prefix","Préfixes des tables"
"First Name","Prénom"
"Get ready to experience Open-Source eCommerce Evolved.","Préparez-vous à vivre une expérience avancée de l'eCommerce Open-Source"
"There was a problem installing Magento packages. Please read the log, correct errors and retry again.","Problème lors de l'installation des paquets Magento. Veuillez consulter le fichier de log, corriger les erreurs et réessayer."
"Proceed With Automatic Download (%s)","Procéder au téléchargement automatique (%s)"
"Locale","Profil local"
"Locale settings","Réglages de locale"
"Please note that only UNIX, Linux and Mac OSX shells are currently supported. For Windows use the '%s' option.","Remarque : Seuls UNIX, Linux et Mac OS sont supportés pour l'instant. Pour Windows, merci d'utiliser l'option '%s'"
"Save session data in","Save session data in"
"Save session files in","Save session files in"
"Host","Serveur"
"Database host","Serveur de base de données"
"Session storage options","Session storage options"
"If your server is running on MS Windows, most probably you will not need to change anything.","Si votre serveur tourne sous MS Windows, vous ne devriez normalement rien modifier."
"If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method.","Si vous avez lancé l'assistant d'installation sur une ancienne installation Magento, suivez cette méthode."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Si vous avez téléchargé complètement les paquets ou installé Magento via SVN, vous devez passer l'installation et la validation des paquets en cliquant sur le bouton suivant."
"If you are a developer and would like to have the latest public updates, choose this option.","Si vous êtes développeur et que vous aimeriez avoir les mises à jour publiques les plus récentes, sélectionnez cette option."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Si vous lancez PHP en CGI, vos processes peuvent tourner sous le même utilisateur que celui utilisé pour télécharger les fichiers Magento."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Si vous ne souhaitez pas ou ne pouvez pas donner les droits d'écriture sur les répertoires Magento pour l'installation en mode web, vous pouvez utiliser l'exécutable PEAR situé à la racine de l'installation Magento."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Si vous souhaitez gérer les paquets Magento à l'aide de l'interface web d'administration, vous devrez donner à l'utilisateur web les droits d'écriture sur tous les répertoires et fichiers Magento."
"Report All Bugs","Signalez tous les bugs"
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","Sinon, vous devrez donner les droits en écriture sur tous les fichiers Magento pour l'utilisateur utilisé par le process du serveur web."
"Skip Base URL validation before next step","Skip Base URL validation before next step"
"Preferred stability: %s","Stabilité privilégiée : %s"
"Full Download / SVN Installation","Téléchargement complet / l'installation SVN"
"Downloading and installing Magento, please wait...","Téléchargement et installation de Magento en cours, veuillez patienter..."
"Manual Downloads and Upgrades","Téléchargements et mises à jours manuels"
"Download","Télécharger"
"Download Magento Core Modules and Updates","Télécharger les modules de base Magento et les mises à jour"
"All packages were installed successfully, click 'Ok' to continue with installation","Tous les packages ont bien été installés, cliquez sur 'OK' pour poursuivre l'installation"
"Secure Base URL","URL de base sécurisée"
"Use Secure URLs (SSL)","Utiliser des URLs sécurisées (URL)"
"Use Web Server (Apache) Rewrites","Utiliser les réécriture d'URLs du serveur web (Apache)"
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Vérifiez que <code>mod_rewrite</code> est activé dans votre configuration Apache."
"Please note that it is much less stable than beta.","Veuillez noter que ceci est beaucoup moins stable que la beta."
"Please set all required settings before clicking Continue","Veuillez renseigner tous les réglages obligatoires avant de poursuivre"
"You're All Set","Vous avez terminé"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","Vous pouvez activer cette option pour utiliser la fonctionnalité de réécritures du serveur web pour l'optimisation pour les moteurs de recherche"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Vous pouvez aussi essayer la méthode 'Téléchargements et mises à jour manuels'"
"Having trouble installing Magento?","Vous rencontrez des problèmes pour installer Magento ?"
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock"
