"Shipping Address","Adresse de livraison"
"Items in Your Shopping Cart","Articles dans votre panier"
"Update Shipping Method","Changer de mode de livraison"
"PayPal Account","Compte PayPal"
"Sorry, no quotes are available for this order at this time.","Désolé, aucune estimation n'existe pour cette commande pour l'instant"
"Email","Email"
"PayPal Email","Email Paypal"
"Incl. Tax","Incl. Tax"
"Billing Information","Informations de facturation"
"Shipping Information","Informations de livraison"
"Submitting order information...","Les informations de commande sont en cours d'envoi..."
"Shipping Method","Mode de livraison"
"Payment Method","Mode de paiement"
"Change Shipping Address","Modifier"
"Change Payment Method","Modifier le mode de paiement"
"Edit Shopping Cart","Modifier le panier"
"No shipping method required.","No shipping method required."
"Product Name","Nom produit"
"Place an Order","Passer une commande"
"Price","Prix"
"Qty","Quantité"
"Please select a shipping method...","Sélectionnez un mode de livraison..."
"Subtotal","Sous-total"
"Review Order","Vérifier la commande"
"Your billing address will be ignored and you will be redirected to PayPal website","Votre adresse de facturation sera ignorée et vous serez redirigé vers le site de Paypal."
"You will be redirected to PayPal website when you place an order.","Vous serez redirigé vers le site de Paypal quand vous validez la commande."
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
