"Add","Ajouter un nouveau rôle"
"ALL","TOUTES"
"ANY","UNE OU PLUSIEURS DE"
"Apply","Appliquer"
"by","sur"
"Description: %s","Description : %s"
"Expire at: %s","Expire le : %s"
"FALSE","FAUSSES"
"If %s of these conditions are %s:","Si %s ces conditions sont %s :"
"If an item is %s in the cart with %s of these conditions true:","Si un article %s dans le panier et qu'il remplit %s ces conditions :"
"Name: %s","Nom : %s"
"Open Chooser","Ouvrir le sélecteur"
"Perform following actions","Effectuer les actions suivantes"
"Please choose a condition to add...","Choisissez une condition à ajouter..."
"Please choose an action to add...","Choisissez une action à ajouter..."
"Remove","Supprimer"
"Start at: %s","Débute le : %s"
"to","à"
"TRUE","VRAIES"
