"Action","Action"
"Enabled","Activé"
"Add Sitemap","Ajouter un plan du site"
"Yearly","Annuel"
"Edit Sitemap","Éditer le plan de site"
"This sitemap no longer exists","Ce plan de site n'existe plus"
"Path","Chemin"
"Error Email Recipient","Erreur de mail destinataire"
"Error Email Sender","Expéditeur du mail d'erreur"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server."
"Frequency","Fréquence"
"Error Email Template","Gabarit du mail d'erreur"
"Last Time Generated","Généré pour la dernière fois le"
"Generate","Generate"
"Google Sitemap Section","Google Sitemap Section"
"Weekly","Hebdomadaire"
"Start Time","Heure de début"
"ID","ID"
"Unable to find a sitemap to delete","Impossible de trouver un plan de site à effacer"
"Never","Jamais"
"Priority must be between 0 and 1","La priorité doit être entre 0 et 1"
"Sitemap was successfully deleted","Le plan du site a bien été effacé"
"Sitemap was successfully saved","Le plan du site a bien été sauvegardé"
"Sitemap generate Warnings","Le plan du site a généré des alertes"
"Link for Google","Lien pour Google"
"Monthly","Mensuel"
"Filename","Nom de fichier"
"New Sitemap","Nouveau plan de site"
"Categories Options","Options pour les catégories"
"CMS Pages Options","Options pour les pages CMS"
"Products Options","Options pour les produits"
"Generation Settings","Paramètres généraux"
"Sitemap","Plan de site"
"Google Sitemap","Plan de site Google"
"Please create the specified folder ""%s"" before saving the sitemap.","Please create the specified folder ""%s"" before saving the sitemap."
"Please define correct path","Please define correct path"
"Please make sure that ""%s"" is writable by web-server.","Please make sure that ""%s"" is writable by web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed."
"Priority","Priorité"
"Daily","Quotidien"
"Sitemap ""%s"" has been successfully generated","Sitemap ""%s"" has been successfully generated"
"Always","Toujours"
"Hourly","Toutes les heures"
"Unable to find a sitemap to generate","Unable to find a sitemap to generate"
"Unable to generate a sitemap","Unable to generate a sitemap"
"Valid values range from 0.0 to 1.0","Valid values range from 0.0 to 1.0"
"Store View","Vue magasin"
