"-- Please Select --","-- Votre choix --"
"Add New Tax Rate","Ajouter un nouveau taux de TVA"
"Add New Class","Ajouter une nouvelle classe"
"Add New Tax Rule","Ajouter une nouvelle règle de TVA"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Apply Tax On"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Edit Class","Éditer la classe"
"Edit Class '%s'","Éditer la classe '%s'"
"Edit Rule","Éditer la règle"
"Edit Tax Rate","Éditer le taux de TVA"
"State","État/Région/Département"
"State/Region","État/Région/Département"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"This class no longer exists","Cette classe n'existe plus"
"This rule no longer exists","Cette règle n'existe plus"
"Customer Tax Class","Classe de TVA clients"
"Product Tax Class","Classe de TVA produits"
"Tax class was successfully saved","Classe de TVA supprimée avec succès"
"Customer Tax Classes","Classes de TVA client"
"Product Tax Classes","Classes de TVA produit"
"Code","Code"
"Zip/Post Code","Code postal"
"County","Comté"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"CSV","CSV"
"Custom price if available","Custom price if available"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display full tax summary","Display full tax summary"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Display Shipping Prices"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Incorrect rate Data","Données de taux incorrectes"
"Invalid data for tax rate calculation","Données invalides pour le calcul du taux de TVA"
"Error while saving this rate. Please try again later.","Erreur lors de la sauvegarde de ce taux. Veuillez réessayer ultérieurement."
"Error while saving this tax class. Class with the same name ","Erreur lors de la sauvegarde de cette classe de TVA. Il existe une classe portant ce nom."
"Error while saving this tax class. Please try again later.","Erreur lors de la sauvegarde de cette classe de TVA. Veuillez réessayer ultérieurement."
"Error while saving this tax rule. Please try again later.","Erreur lors de la sauvegarde de cette classe de TVA. Veuillez réessayer ultérieurement."
"Error while deleting this rate. Incorrect rate ID","Erreur lors de la suppression de ce taux. Identifiant de taux invalide."
"Error while deleting this rate. Please try again later.","Erreur lors de la suppression de ce taux. Veuillez réessayer ultérieurement."
"Error while deleting this class. Please try again later.","Erreur lors de la suppression de cette classe. Veuillez réessayer ultérieurement."
"Error while deleting this tax rule. Please try again later.","Erreur lors de la suppression de cette règle de TVA. Veuillez réessayer ultérieurement."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax:","Excl. Tax:"
"Excluding tax","Excluding tax"
"Export Tax Rates","Exporter les taux de TVA"
"Manage Customer Tax Classes","Gérer les classes de TVA client"
"Manage Product Tax Classes","Gérer les classes de TVA produit"
"Manage Tax Rules","Gérer les règles de TVA"
"Manage Tax Rates","Gérer les taux de TVA"
"Excl. Tax","HT"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","Importer / exporter les taux de TVA"
"Import Tax Rates","Importer les taux de TVA"
"Incl. Tax:","Incl. Tax:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Product Tax Class Information","Information de la classe de TVA produit"
"Tax Rate Information","Information du taux de TVA"
"Customer Tax Class Information","Informations de classe de TVA client"
"Tax Rule Information","Informations de règle de TVA"
"Tax class was successfully deleted","La classe de TVA a été sauvegardé avec succès"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Name","Name"
"Class Name","Nom de la classe"
"None","None"
"New Tax Rate","Nouveau taux de TVA"
"New Class","Nouvelle classe"
"New Rule","Nouvelle règle"
"One of the country has invalid code.","One of the country has invalid code."
"Original price only","Original price only"
"Country","Pays"
"Priority","Priority"
"Rate","Rate"
"Tax rule was successfully saved","Règle de TVA sauvegardée avec succès"
"Tax rule was successfully deleted","Règle de TVA supprimée avec succès"
"Tax Rules","Règles de TVA"
"Reset","Réinitialiser"
"Back","Retour"
"Save Class","Sauvegarder la classe"
"Save Rule","Sauvegarder la règle"
"Save Rate","Sauvegarder le taux"
"Please select State","Sélectionnez un état"
"Please select Country","Sélectionnez un pays"
"Please select County","Sélectionnez un pays"
"Shipping prices include tax","Shipping prices include tax"
"Sort Order","Sort Order"
"Delete Class","Supprimer la classe"
"Delete Rule","Supprimer la règle"
"Delete Rate","Supprimer le taux"
"Tax Rate","Taux de TVA"
"Tax rate was successfully imported","Taux de TVA importé avec succès"
"Tax rate was successfully saved","Taux de TVA sauvegardé avec succès"
"Tax rate was successfully deleted","Taux de TVA supprimé avec succès"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"Invalid file format upload attempt","Tentative de téléchargement de fichier au format invalid"
"Invalid file upload attempt","Tentative de téléchargement de fichier invalide"
"Inc. Tax","TTC"
"Incl. Tax","TTC"
"Tax","TVA"
"Sales","Ventes"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Vous ne pouvez pas effacer cette classe de TVA car elle est utilisée dans les règles de TVA. Vous devez d'abord effacer les règles qui l'utilisent."
"You cannot delete this tax class as it is used for %d customer groups.","Vous ne pouvez pas effacer cette classe de TVA car elle est utilisée par %d groupes de clients."
"You cannot delete this tax class as it is used for %d products.","Vous ne pouvez pas effacer cette classe de TVA car elle est utilisée par %d produits."
"XML","XML"
