" was not delivered nor scanned"," n'a été ni livré ni scanné"
"1 Day Freight","1 Day Freight"
"2 Day Freight","2 Day Freight"
"2Day","2Day"
"3 Day Freight","3 Day Freight"
"Access ID","ID d'accès"
"Access license number","Numéro de licence d'accès"
"Account ID","ID de compte"
"Account number","Numéro de compte"
"All Services","Tous les services"
"Allowed methods","Méthodes autorisées"
"Bound Printed Matter","Bound Printed Matter"
"Business Service Center","Business Service Center"
"Calculate Handling Fee","Calculer les frais de dossier"
"Cannot retrieve shipping rates","Impossible de récupérer les taux de livraison"
"Container","Container"
"Delivered","Livré"
"Destination type","Type de destination"
"DHL","DHL"
"Displayed Error Message","Message d'erreur affiché"
"Drop Box","Drop Box"
"Dropoff","Déposer"
"Empty response","Réponse vide"
"Enabled","Activé"
"Error #%s : %s (%s)","Erreur #%s : %s (%s)"
"Error #%s: %s","Erreur #%s : %s"
"Europe First Priority","Europe First Priority"
"Express","Express"
"Express 10:30 AM","Express 10 :30 AM"
"Express Mail","Express Mail"
"Express Saturday","Express Saturday"
"Express Saver","Express Saver"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"FedEx Box","FedEx Box"
"FedEx Envelope","FedEx Envelope"
"FedEx Pak","FedEx Pak"
"FedEx Tube","FedEx Tube"
"First Overnight","First Overnight"
"First-Class","Première classe"
"Flat","Plat"
"Flat Rate Box","Flat Rate Box"
"Flat Rate Envelope","Flat Rate Envelope"
"Free method","Méthode gratuite"
"Free shipping with minimum order amount","Livraison gratuite avec montant de commande mini"
"Gateway URL","URL de passerelle"
"Gateway XML URL","URL XML de passerelle"
"Ground","Ground"
"Handling Applied","Frais de dossier appliqués"
"Handling fee","Frais de dossier"
"Home Delivery","Livraison à domicile"
"International Economy","International Economy"
"International Express","International Express"
"International First","International First"
"International Priority","International Priority"
"Intl Economy Freight","Intl Economy Freight"
"Intl Priority Freight","Intl Priority Freight"
"Invalid DHL XML code for type %s: %s","Code XML DHL non valide pour le type %s : %s"
"Invalid DHL XML code type: %s","Type de code XML DHL non valide : %s"
"Invalid FedEx XML code for type %s: %s","Code XML FedEx non valide pour le type %s : %s"
"Invalid FedEx XML code type: %s","Type de code XML FedEx non valide : %s"
"Invalid UPS CGI code for type %s: %s","Code CGI UPS non valide pour le type %s : %s"
"Invalid UPS CGI code type: %s","Type de code CGI UPS non valide : %s"
"Invalid USPS XML code for type %s: %s","Code XML USPS non valide pour le type %s : %s"
"Invalid USPS XML code type: %s","Type de code XML USPS non valide : %s"
"Large","Grand"
"Letter","Lettre"
"Library","Bibliothèque"
"Machinable","Machinable"
"Maximum Package Weight (Cannot exceed 150 lbs)","Poids maxi du paquet (Ne peut pas dépasser 150 lbs)"
"Maximum Package Weight (Cannot exceed 70 lbs)","Poids maxi du paquet (Ne peut pas dépasser 70 lbs)"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Poids maxi du paquet (consultez votre transporteur)"
"Media Mail","Media Mail"
"Minimum order amount for free shipping","Montant minimum de commande pour la livraison gratuite"
"Next Afternoon","Après-midi suivante"
"No","Non"
"Non-rectangular","Non rectangulaire"
"Order","Commande"
"Origin of the shipment","Origine de la livraison"
"Oversize","Trop grand"
"Package","Paquet"
"Package Description","Description du paquet"
"Packaging","Packaging"
"Parcel","Colis"
"Parcel Post","Colis postal"
"Password","Mot de pase"
"Pickup method","Méthode de retrait"
"Please enter the package weight","Veuillez saisir le poids du paquet"
"Priority Mail","Priority Mail"
"Priority Overnight","Priority Overnight"
"Receiver","Destinataire"
"Rectangular","Rectangulaire"
"Regular","Régulier"
"Regular Pickup","Regular Pickup"
"Request Courier","Request Courier"
"Response is in the wrong format","La réponse n'est pas dans le bon format"
"Second Day Service","Second Day Service"
"Sender","Expéditeur"
"Ship to applicable countries","Livrer dans les pays applicables"
"Ship to Specific countries","Livrer dans des pays spécifiques"
"Shipment Dutiable","Livraison taxable"
"Shipment Duty Payment Type","Type de paiement de taxe de livraison"
"Shipment is not available.","La livraison n'est pas disponible."
"Shipment picked up","Colis récupéré"
"Shipment type","Type de livraison"
"Shipping key","Clé de livraison"
"Shipping key (International)","Clé de livraison (international)"
"Show method if not applicable","Afficher le mode s'il n'est pas applicable"
"Size","Taille"
"Sort order","Ordre de tri"
"Standard Overnight","Standard Overnight"
"Station","Gare"
"There is no available method for selected shipping address.","Il n'y a pas de mode disponible pour l'adresse de livraison choisie."
"Third Party","Tiers"
"Title","Titre"
"Tracking XML URL","URL XML de suivi"
"Unable to retrieve tracking","Impossible de récupérer les informations de suivi"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Unknown error","Erreur inconnue"
"UPS","UPS"
"UPS type","Type UPS"
"User ID","ID utilisateur"
"UserId","ID utilisateur"
"USPS","USPS"
"Variable","Variable"
"Weight Unit","Unité de poids"
"Yes","Oui"
"Your Packaging","Votre paquet"
