"Invalid block name to set child %s: %s","Invalid block name to set child %s: %s"
"Model class does not exist: %s","Model class does not exist: %s"
"Empty field id name","Empty field id name"
"Invalid websites configuration path: %s","Invalid websites configuration path: %s"
"Invalid store configuration path: %s","Invalid store configuration path: %s"
"%s already exist","%s already exist"
"Exception while deleting the object","Exception while deleting the object"
"Resource is not set","Resource is not set"
"Error in file: ""%s"" - %s","Error in file: ""%s"" - %s"
"Block with name ""%s"" already exists","Block with name ""%s"" already exists"
"Duplicate Of Template Code","Duplicate Of Template Code"
"Exception while saving the object: %s","Exception while saving the object: %s"
"Invalid base dir type specified: %s","Invalid base dir type specified: %s"
"Cannot Delete Email Template","Cannot Delete Email Template"
"Can't retrieve request object","Can't retrieve request object"
"%s already exists","%s already exists"
"Can\'t retrieve entity config for entity: %s of model: %s","Can\'t retrieve entity config for entity: %s of model: %s"
"Wrong number of arguments for %s","Wrong number of arguments for %s"
"Could not load default layout file","Could not load default layout file"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Invalid layout update argument, expected Mage_Core_Model_Layout_Element"
"Layout update handle not found: %s","Layout update handle not found: %s"
"You need init translate area","You need init translate area"
"Invalid block: %s","Invalid block: %s"
"Invalid block type: %s","Invalid block type: %s"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid transactional email code","Invalid transactional email code"
"Empty main table name","Empty main table name"
"Select Store","Select Store"
