"Invalid attribute type","Invalid attribute type"
"No","No"
"Wrong entity ID","Wrong entity ID"
"Unknown parameter","Unknown parameter"
"Frontend label is not defined","Frontend label is not defined"
"Invalid data object key","Invalid data object key"
"Default option value is not defined","Default option value is not defined"
"Data integrity: No header row found for attribute","Data integrity: No header row found for attribute"
"Invalid condition","Invalid condition"
"Valid store_id is expected!","Valid store_id is expected!"
"Invalid entity supplied","Invalid entity supplied"
"Wrong attribute group ID","Wrong attribute group ID"
"Wrong attribute set ID","Wrong attribute set ID"
"Invalid store id supplied","Invalid store id supplied"
"Invalid alias, already exists in joined attributes","Invalid alias, already exists in joined attributes"
"Value of attribute ""%s"" must be unique","Value of attribute ""%s"" must be unique"
"Invalid foreign key","Invalid foreign key"
"Invalid character encountered in increment ID: %s","Invalid character encountered in increment ID: %s"
"Invalid entity type","Invalid entity type"
"Attribute with the same code","Attribute with the same code"
"Attempt to add an invalid object","Attempt to add an invalid object"
"Invalid attribute requested: %s","Invalid attribute requested: %s"
"Invalid object supplied","Invalid object supplied"
"Joined field with this alias is already declared","Joined field with this alias is already declared"
"Entity's object is not initialized","Entity's object is not initialized"
"Wrong attribute ID","Wrong attribute ID"
"Invalid attribute name: %s","Invalid attribute name: %s"
"No connection available","No connection available"
"Yes","Yes"
"Entity is not initialized","Entity is not initialized"
"Invalid entity type %s","Invalid entity type %s"
"No options root node found","No options root node found"
